case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.208242194,0.199728116,3.3643,1,0.216584185,0.213556437,2.189524736,3.437629971,3.988330865,0.210095741,0.207429529,1.804977646,2.342696104,2.952722046,0.211976074,0.210698045,2.58745563,2.797357209,2.450506309,0.190024852,0.188041507,1.462324142,2.142467079,2.528835113,0.22290437,0.221625889,3.573212099,3.537201803,2.899847926,0.199450519,0.197000482,2.877072011,4.178782321,2.944326792,0.20227763,0.201033823,3.130723721,3.391578123,2.357360507,0.212624185,0.211509978,2.766233252,2.969128272,2.971675084
7,0.208361269,0.198771695,3.1225,1,0.210095741,0.207429529,1.804977646,2.342696104,2.952722046,0.210782556,0.209457976,2.670919974,2.582361761,2.025984727,0.190024852,0.188041507,1.462324142,2.142467079,2.528835113,0.220806963,0.219076474,3.148597269,3.244000294,4.476358274,0.199450519,0.197000482,2.877072011,4.178782321,2.944326792,0.216581296,0.214910121,1.6297605,1.776035373,3.209023966,0.212624185,0.211509978,2.766233252,2.969128272,2.971675084,0.206524037,0.204849632,1.73821623,2.823480367,3.908075093
19,0.20647844,0.197468896,3.144,1,0.213827185,0.212026788,2.001209975,4.342271062,3.181669297,0.209351148,0.20806134,2.405957432,2.360532131,3.707038431,0.214447222,0.213390171,2.448967863,3.78172,3.364417954,0.172001,0.169623371,0.730965508,1.121305628,1.647061493,0.204093852,0.202767148,2.481722315,3.824930683,2.288740607,0.222719407,0.221713179,3.007425927,4.596981522,2.947382293,0.214057667,0.212907999,4.050707833,3.334369012,3.193479489,0.201330037,0.199752188,1.904605565,2.063282708,2.020933173
21,0.204172694,0.194628931,3.0721,1,0.221827222,0.220650461,1.875023003,3.615397242,4.414742316,0.204727889,0.202715882,1.688676324,2.541714505,2.405124829,0.201270852,0.200062551,1.894772244,2.454746476,3.547574678,0.177426556,0.174989611,1.73472326,1.370030965,1.876036642,0.204910481,0.203793841,2.684529778,3.149446888,2.671881417,0.215689926,0.214717529,2.820290517,2.194907351,3.374910891,0.195739407,0.194678298,3.248857139,1.95693995,2.704148572,0.211789222,0.2088899,2.277933577,5.028095926,1.594302837
23,0.204837769,0.195376834,3.0593,1,0.211588889,0.210289307,2.644187621,2.431966508,3.896633772,0.213673074,0.21228173,1.931719226,2.59265131,2.27035969,0.198765444,0.197443859,1.332314789,2.377470704,1.965070602,0.194008074,0.191358517,1.918694401,1.339820798,2.564135905,0.202739519,0.201324789,2.492100019,3.69403292,2.191209937,0.217416815,0.216287359,2.797887589,2.253888504,3.035389099,0.194973222,0.193525519,3.222131815,2.232487701,1.467496483,0.205537111,0.203907457,2.025489848,3.945266828,2.48837374
1,0.208242194,0.199728116,4.1948,2,0.216584185,0.213556437,3.437629971,2.189524736,3.988330865,0.22290437,0.221625889,3.537201803,3.573212099,2.899847926,0.211976074,0.210698045,2.797357209,2.58745563,2.450506309,0.20227763,0.201033823,3.391578123,3.130723721,2.357360507,0.210095741,0.207429529,2.342696104,1.804977646,2.952722046,0.199450519,0.197000482,4.178782321,2.877072011,2.944326792,0.190024852,0.188041507,2.142467079,1.462324142,2.528835113,0.212624185,0.211509978,2.969128272,2.766233252,2.971675084
7,0.208361269,0.198771695,3.4544,2,0.210095741,0.207429529,2.342696104,1.804977646,2.952722046,0.199450519,0.197000482,4.178782321,2.877072011,2.944326792,0.190024852,0.188041507,2.142467079,1.462324142,2.528835113,0.212624185,0.211509978,2.969128272,2.766233252,2.971675084,0.210782556,0.209457976,2.582361761,2.670919974,2.025984727,0.216581296,0.214910121,1.776035373,1.6297605,3.209023966,0.220806963,0.219076474,3.244000294,3.148597269,4.476358274,0.206524037,0.204849632,2.823480367,1.73821623,3.908075093
19,0.20647844,0.197468896,3.8879,2,0.213827185,0.212026788,4.342271062,2.001209975,3.181669297,0.204093852,0.202767148,3.824930683,2.481722315,2.288740607,0.214447222,0.213390171,3.78172,2.448967863,3.364417954,0.214057667,0.212907999,3.334369012,4.050707833,3.193479489,0.209351148,0.20806134,2.360532131,2.405957432,3.707038431,0.222719407,0.221713179,4.596981522,3.007425927,2.947382293,0.172001,0.169623371,1.121305628,0.730965508,1.647061493,0.201330037,0.199752188,2.063282708,1.904605565,2.020933173
21,0.204172694,0.194628931,3.4759,2,0.221827222,0.220650461,3.615397242,1.875023003,4.414742316,0.204910481,0.203793841,3.149446888,2.684529778,2.671881417,0.201270852,0.200062551,2.454746476,1.894772244,3.547574678,0.195739407,0.194678298,1.95693995,3.248857139,2.704148572,0.204727889,0.202715882,2.541714505,1.688676324,2.405124829,0.215689926,0.214717529,2.194907351,2.820290517,3.374910891,0.177426556,0.174989611,1.370030965,1.73472326,1.876036642,0.211789222,0.2088899,5.028095926,2.277933577,1.594302837
23,0.204837769,0.195376834,3.2511,2,0.211588889,0.210289307,2.431966508,2.644187621,3.896633772,0.202739519,0.201324789,3.69403292,2.492100019,2.191209937,0.198765444,0.197443859,2.377470704,1.332314789,1.965070602,0.194973222,0.193525519,2.232487701,3.222131815,1.467496483,0.213673074,0.21228173,2.59265131,1.931719226,2.27035969,0.217416815,0.216287359,2.253888504,2.797887589,3.035389099,0.194008074,0.191358517,1.339820798,1.918694401,2.564135905,0.205537111,0.203907457,3.945266828,2.025489848,2.48837374
