case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.208242194,0.199728116,3.3643,1,0.216584185,0.213556437,2.748161,3.614485,4.290423,0.210095741,0.207429529,2.2781944,2.8062487,3.4044333,0.211976074,0.210698045,3.1416178,3.1531973,3.0548198,0.190024852,0.188041507,1.7532668,2.326353,2.6860125,0.22290437,0.221625889,3.8869162,3.8967385,3.5047011,0.199450519,0.197000482,3.4767883,4.3702865,3.3958387,0.20227763,0.201033823,3.5679488,3.7634556,2.7954123,0.212624185,0.211509978,3.420156,3.2839012,3.6010902
7,0.208361269,0.198771695,3.1225,1,0.210095741,0.207429529,2.2781944,2.8062487,3.4044333,0.210782556,0.209457976,3.0555396,3.063888,2.307998,0.190024852,0.188041507,1.7532668,2.326353,2.6860125,0.220806963,0.219076474,3.6699824,3.6680207,4.6427665,0.199450519,0.197000482,3.4767883,4.3702865,3.3958387,0.216581296,0.214910121,1.6308448,1.5863054,4.0108027,0.212624185,0.211509978,3.420156,3.2839012,3.6010902,0.206524037,0.204849632,2.2759223,3.1098113,4.135655
19,0.20647844,0.197468896,3.144,1,0.213827185,0.212026788,2.4829626,4.5261884,3.5854974,0.209351148,0.20806134,2.8714998,3.0320451,4.0217085,0.214447222,0.213390171,3.145856,4.0244536,3.8343687,0.172001,0.169623371,1.1942859,1.4097276,1.7122211,0.204093852,0.202767148,2.8499188,4.0104437,2.772831,0.222719407,0.221713179,3.2328649,4.630276,3.6259089,0.214057667,0.212907999,4.3921585,3.7261727,3.7689157,0.201330037,0.199752188,2.2627823,2.3029711,2.3417318
21,0.204172694,0.194628931,3.0721,1,0.221827222,0.220650461,2.3610015,3.9198437,4.4667807,0.204727889,0.202715882,1.8919067,2.8135428,2.7917917,0.201270852,0.200062551,2.4228342,2.6873062,3.9090328,0.177426556,0.174989611,1.8483983,1.604833,2.0702243,0.204910481,0.203793841,3.1646097,3.5003655,3.0690482,0.215689926,0.214717529,3.15492,2.7506447,3.6284635,0.195739407,0.194678298,3.5981445,2.2085187,2.8979614,0.211789222,0.2088899,2.8095505,5.0392876,2.0779521
23,0.204837769,0.195376834,3.0593,1,0.211588889,0.210289307,3.1009226,2.7738662,4.1151237,0.213673074,0.21228173,2.2188597,2.9143586,2.6157122,0.198765444,0.197443859,1.8058398,2.5556965,2.401632,0.194008074,0.191358517,2.4190392,1.5929395,2.9885378,0.202739519,0.201324789,2.9733572,3.9980717,2.725284,0.217416815,0.216287359,2.885922,2.5587702,3.665007,0.194973222,0.193525519,3.4542642,2.6029809,1.665764,0.205537111,0.203907457,2.5494168,4.207463,3.029138
1,0.208242194,0.199728116,4.1948,2,0.216584185,0.213556437,3.614485,2.748161,4.290423,0.22290437,0.221625889,3.8967385,3.8869162,3.5047011,0.211976074,0.210698045,3.1531973,3.1416178,3.0548198,0.20227763,0.201033823,3.7634556,3.5679488,2.7954123,0.210095741,0.207429529,2.8062487,2.2781944,3.4044333,0.199450519,0.197000482,4.3702865,3.4767883,3.3958387,0.190024852,0.188041507,2.326353,1.7532668,2.6860125,0.212624185,0.211509978,3.2839012,3.420156,3.6010902
7,0.208361269,0.198771695,3.4544,2,0.210095741,0.207429529,2.8062487,2.2781944,3.4044333,0.199450519,0.197000482,4.3702865,3.4767883,3.3958387,0.190024852,0.188041507,2.326353,1.7532668,2.6860125,0.212624185,0.211509978,3.2839012,3.420156,3.6010902,0.210782556,0.209457976,3.063888,3.0555396,2.307998,0.216581296,0.214910121,1.5863054,1.6308448,4.0108027,0.220806963,0.219076474,3.6680207,3.6699824,4.6427665,0.206524037,0.204849632,3.1098113,2.2759223,4.135655
19,0.20647844,0.197468896,3.8879,2,0.213827185,0.212026788,4.5261884,2.4829626,3.5854974,0.204093852,0.202767148,4.0104437,2.8499188,2.772831,0.214447222,0.213390171,4.0244536,3.145856,3.8343687,0.214057667,0.212907999,3.7261727,4.3921585,3.7689157,0.209351148,0.20806134,3.0320451,2.8714998,4.0217085,0.222719407,0.221713179,4.630276,3.2328649,3.6259089,0.172001,0.169623371,1.4097276,1.1942859,1.7122211,0.201330037,0.199752188,2.3029711,2.2627823,2.3417318
21,0.204172694,0.194628931,3.4759,2,0.221827222,0.220650461,3.9198437,2.3610015,4.4667807,0.204910481,0.203793841,3.5003655,3.1646097,3.0690482,0.201270852,0.200062551,2.6873062,2.4228342,3.9090328,0.195739407,0.194678298,2.2085187,3.5981445,2.8979614,0.204727889,0.202715882,2.8135428,1.8919067,2.7917917,0.215689926,0.214717529,2.7506447,3.15492,3.6284635,0.177426556,0.174989611,1.604833,1.8483983,2.0702243,0.211789222,0.2088899,5.0392876,2.8095505,2.0779521
23,0.204837769,0.195376834,3.2511,2,0.211588889,0.210289307,2.7738662,3.1009226,4.1151237,0.202739519,0.201324789,3.9980717,2.9733572,2.725284,0.198765444,0.197443859,2.5556965,1.8058398,2.401632,0.194973222,0.193525519,2.6029809,3.4542642,1.665764,0.213673074,0.21228173,2.9143586,2.2188597,2.6157122,0.217416815,0.216287359,2.5587702,2.885922,3.665007,0.194008074,0.191358517,1.5929395,2.4190392,2.9885378,0.205537111,0.203907457,4.207463,2.5494168,3.029138
