case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.208242194,0.199728116,3.3643,1,0.216584185,0.213556437,2.4153752,3.4738166,3.877278,0.210095741,0.207429529,2.0272267,2.7339668,3.0815375,0.211976074,0.210698045,2.8255186,3.0774384,2.7234087,0.190024852,0.188041507,1.7227893,2.267877,2.64584,0.22290437,0.221625889,3.9312282,3.8220813,3.2317336,0.199450519,0.197000482,3.140906,4.4772983,3.4038806,0.20227763,0.201033823,3.4220598,3.579325,2.4776506,0.212624185,0.211509978,2.8785462,2.5958252,3.1153116
7,0.208361269,0.198771695,3.1225,1,0.210095741,0.207429529,2.0272267,2.7339668,3.0815375,0.210782556,0.209457976,2.9690747,2.6682165,2.0875018,0.190024852,0.188041507,1.7227893,2.267877,2.64584,0.220806963,0.219076474,3.4880426,3.5341568,4.376728,0.199450519,0.197000482,3.140906,4.4772983,3.4038806,0.216581296,0.214910121,1.1474102,1.8485959,2.449854,0.212624185,0.211509978,2.8785462,2.5958252,3.1153116,0.206524037,0.204849632,2.0690978,2.920839,4.284699
19,0.20647844,0.197468896,3.144,1,0.213827185,0.212026788,2.1980507,4.6622367,3.1964605,0.209351148,0.20806134,2.7421534,2.9181857,3.8271704,0.214447222,0.213390171,2.6547058,3.9362428,3.4351246,0.172001,0.169623371,1.0397815,1.2155117,1.8931657,0.204093852,0.202767148,2.7687573,3.9482703,2.5770612,0.222719407,0.221713179,2.9256115,4.513069,2.355235,0.214057667,0.212907999,4.257898,3.5427754,3.49189,0.201330037,0.199752188,2.163498,2.433766,2.015284
21,0.204172694,0.194628931,3.0721,1,0.221827222,0.220650461,2.1893318,3.7316415,4.3755608,0.204727889,0.202715882,1.9735441,2.656498,2.6350782,0.201270852,0.200062551,2.0292382,2.522186,3.7988307,0.177426556,0.174989611,1.7510753,1.4053029,1.9791356,0.204910481,0.203793841,3.0494735,3.3646832,2.874821,0.215689926,0.214717529,3.2798119,2.6934068,3.5002985,0.195739407,0.194678298,3.5326104,1.9764057,2.8344684,0.211789222,0.2088899,2.6338387,5.1260185,1.9380499
23,0.204837769,0.195376834,3.0593,1,0.211588889,0.210289307,2.9037857,2.7395017,4.163959,0.213673074,0.21228173,2.101911,2.821152,2.3695111,0.198765444,0.197443859,1.5822579,2.542456,2.1333153,0.194008074,0.191358517,2.4299324,1.6316798,2.8401878,0.202739519,0.201324789,2.6108441,3.7453198,2.4506772,0.217416815,0.216287359,2.8570664,2.5323615,2.421537,0.194973222,0.193525519,3.200087,2.2670627,1.5968399,0.205537111,0.203907457,2.352378,4.157886,2.8146346
1,0.208242194,0.199728116,4.1948,2,0.216584185,0.213556437,3.4738166,2.4153752,3.877278,0.22290437,0.221625889,3.8220813,3.9312282,3.2317336,0.211976074,0.210698045,3.0774384,2.8255186,2.7234087,0.20227763,0.201033823,3.579325,3.4220598,2.4776506,0.210095741,0.207429529,2.7339668,2.0272267,3.0815375,0.199450519,0.197000482,4.4772983,3.140906,3.4038806,0.190024852,0.188041507,2.267877,1.7227893,2.64584,0.212624185,0.211509978,2.5958252,2.8785462,3.1153116
7,0.208361269,0.198771695,3.4544,2,0.210095741,0.207429529,2.7339668,2.0272267,3.0815375,0.199450519,0.197000482,4.4772983,3.140906,3.4038806,0.190024852,0.188041507,2.267877,1.7227893,2.64584,0.212624185,0.211509978,2.5958252,2.8785462,3.1153116,0.210782556,0.209457976,2.6682165,2.9690747,2.0875018,0.216581296,0.214910121,1.8485959,1.1474102,2.449854,0.220806963,0.219076474,3.5341568,3.4880426,4.376728,0.206524037,0.204849632,2.920839,2.0690978,4.284699
19,0.20647844,0.197468896,3.8879,2,0.213827185,0.212026788,4.6622367,2.1980507,3.1964605,0.204093852,0.202767148,3.9482703,2.7687573,2.5770612,0.214447222,0.213390171,3.9362428,2.6547058,3.4351246,0.214057667,0.212907999,3.5427754,4.257898,3.49189,0.209351148,0.20806134,2.9181857,2.7421534,3.8271704,0.222719407,0.221713179,4.513069,2.9256115,2.355235,0.172001,0.169623371,1.2155117,1.0397815,1.8931657,0.201330037,0.199752188,2.433766,2.163498,2.015284
21,0.204172694,0.194628931,3.4759,2,0.221827222,0.220650461,3.7316415,2.1893318,4.3755608,0.204910481,0.203793841,3.3646832,3.0494735,2.874821,0.201270852,0.200062551,2.522186,2.0292382,3.7988307,0.195739407,0.194678298,1.9764057,3.5326104,2.8344684,0.204727889,0.202715882,2.656498,1.9735441,2.6350782,0.215689926,0.214717529,2.6934068,3.2798119,3.5002985,0.177426556,0.174989611,1.4053029,1.7510753,1.9791356,0.211789222,0.2088899,5.1260185,2.6338387,1.9380499
23,0.204837769,0.195376834,3.2511,2,0.211588889,0.210289307,2.7395017,2.9037857,4.163959,0.202739519,0.201324789,3.7453198,2.6108441,2.4506772,0.198765444,0.197443859,2.542456,1.5822579,2.1333153,0.194973222,0.193525519,2.2670627,3.200087,1.5968399,0.213673074,0.21228173,2.821152,2.101911,2.3695111,0.217416815,0.216287359,2.5323615,2.8570664,2.421537,0.194008074,0.191358517,1.6316798,2.4299324,2.8401878,0.205537111,0.203907457,4.157886,2.352378,2.8146346
