case-name,P,EP,KX,KY,KZ,c1,p1,ep1,kx1,ky1,kz1,c2,p2,ep2,kx2,ky2,kz2,c3,p3,ep3,kx3,ky3,kz3,c4,p4,ep4,kx4,ky4,kz4,c5,p5,ep5,kx5,ky5,kz5,c6,p6,ep6,kx6,ky6,kz6,c7,p7,ep7,kx7,ky7,kz7,c8,p8,ep8,kx8,ky8,kz8
1.0,0.216584185,0.213556437,3.4469,4.0467,5.3253,1,0.167660741,0.160278345,0.9843,1.8542,1.4641,4,0.222788741,0.222489883,1.679,3.5513,10.9341,55,0.202689481,0.201329854,1.4739,2.7961,1.588,58,0.184949333,0.182047457,1.9658,1.6814,2.4971,973,0.241387852,0.240378799,4.1831,5.1589,4.6369,976,0.259965333,0.25902701300000003,3.2937,5.3034,5.1883,1027,0.165761481,0.160618493,1.9652,2.6316,1.3789,1030,0.287470519,0.287066589,8.0003,6.7741,14.1306
3.0,0.226484556,0.224420547,2.8709,4.0883,6.1874,3,0.221498074,0.22071973600000006,1.7934,3.4136,10.9529,6,0.200472889,0.199039076,2.4428,2.1822,4.7085,57,0.190823111,0.188421553,2.3614,1.947,3.4055,60,0.201522963,0.199217098,1.5334,1.1121,2.9617,975,0.266034963,0.266203889,2.6509,7.6154,7.0520000000000005,978,0.22488474100000005,0.221188215,2.1875,4.2935,5.0643,1029,0.276920889,0.276526272,4.4369,11.1006,11.2545,1032,0.229718815,0.228434892,3.2173,1.8371,4.4514
5.0,0.218557593,0.216043502,2.6321,3.0657,4.5062,5,0.225810963,0.224550016,1.5263,2.6547,5.5371,8,0.205057481,0.202513311,1.8562,1.006,1.5977,59,0.197544889,0.193181132,1.4652,1.0448,1.537,62,0.226721481,0.224869112,4.2367,1.9645,4.7625,977,0.252140444,0.248396446,4.6525,7.3249,4.7522,980,0.210334519,0.21033884100000005,2.0508,3.8415,2.5943,1031,0.22183200000000006,0.220817792,4.7715,1.8958,6.0026,1034,0.209018963,0.209066907,4.2359,1.0054,8.0415
7.0,0.210095741,0.207429529,1.83,2.7068,3.3614,7,0.191482963,0.190485045,2.4668,0.8737,4.0159,10,0.237109037,0.235725117,1.6182,4.5004,1.5519999999999998,61,0.195498074,0.192651544,1.7633,1.8062,2.7679,64,0.254481778,0.25381622,3.6744,14.0472,5.9718,979,0.213195852,0.21260266,1.8895,4.678,3.0767,982,0.205624,0.204418769,1.4165,2.647,2.0917,1033,0.222423704,0.22272123,4.7504,2.0934,8.0724,1036,0.160950519,0.157277992,0.3675,0.6779,0.903
9.0,0.210721444,0.20932912,1.4574,3.0610000000000004,2.4084,9,0.217534222,0.216706955,1.3157,2.8699,1.5567,12,0.253371556,0.249159648,2.8699,2.5405,2.9226,63,0.226393778,0.223081051,3.7885,2.5161,5.5158,66,0.202473185,0.200744283,3.2241,4.3936,0.8332,981,0.198916741,0.19430243,1.6995,2.7952,3.2946,984,0.217102222,0.215039418,0.7744,6.1263,3.2201,1035,0.183744889,0.181613215,0.2589,0.6854,1.2388,1038,0.186234963,0.180893568,0.7393,0.8682,0.9892
11.0,0.222721074,0.221549684,2.7714,3.5886,2.6354,11,0.23976148100000005,0.235868431,1.7073,1.9634,1.4117,14,0.237198222,0.236587238,6.0136,8.4601,1.7099,65,0.213198519,0.211947376,0.4977,7.0712,2.1912,68,0.203908444,0.202342006,1.0677,1.4621,1.3557,983,0.20555555600000006,0.204516953,0.4597,4.8787,3.5903,986,0.259183407,0.258473734,7.6089,4.1822,4.9301,1037,0.189903704,0.18850732,0.5826,1.0508,1.0566,1040,0.233059259,0.232423633,2.1452,4.3017,3.1929
13.0,0.210782556,0.209457976,3.2861,2.9439,2.6224,13,0.246696296,0.24510656,3.1772,8.6761,2.7459,16,0.187730963,0.186999614,3.6614,1.9941,3.756,67,0.18282637,0.181362239,2.7364,0.5597,0.6573,70,0.174153778,0.173034375,1.1735,1.0694,1.803,985,0.253473185,0.253185167,6.7170000000000005,4.6872,2.4922,988,0.207604444,0.206215952,1.8599,4.1123,5.4349,1039,0.204176889,0.201921762,1.2375,1.1404,0.8137,1042,0.229598519,0.228155959,4.1566,3.7591,2.4389
15.0,0.227242704,0.226357548,4.5959,4.4837,5.6947,15,0.17862755600000002,0.17845678,3.3212,1.8905,1.1582,18,0.248651852,0.247968353,5.7432,11.1888,7.8515,69,0.179775407,0.17910281100000006,1.0093,1.5354,2.1414,72,0.217814222,0.216360987,4.9191,3.5117,9.85,987,0.241613037,0.241457712,3.0721,5.184,5.0236,990,0.253886222,0.253316862,5.2288,7.1963,10.2914,1041,0.229844741,0.226399798,2.1895,3.7942,3.4283,1044,0.267728593,0.268077043,8.2105,9.1977,4.7127
17.0,0.214137704,0.213140772,2.5694,3.5367,5.3079,20,0.17509037,0.17407451899999998,1.7046,0.7753,2.5669,23,0.224334815,0.223527787,1.2533,2.7442,5.1479,74,0.169166519,0.167554869,1.6069,1.4368,1.2608,77,0.185022519,0.182451646,1.8549,1.6102,0.7817,992,0.282531259,0.282564612,4.203,12.8545,16.4353,995,0.22977363,0.229677817,2.8991,4.6987,3.6139,1046,0.214026074,0.212969736,3.9793,5.175,6.1535,1049,0.233156444,0.232052094,5.8904,2.0415,8.476
19.0,0.218900741,0.218004058,2.8276,3.624,5.0127,22,0.219149926,0.218350583,0.8647,4.6024,9.4761,25,0.174563852,0.173244867,2.5517,1.8913,3.6536,76,0.171561778,0.168981288,1.9191,1.5785,1.0447,79,0.212733037,0.212427701,2.513,4.1769,5.4145,994,0.282248593,0.282808957,4.4173,6.7112,6.0443,997,0.204428741,0.203560771,2.9711,3.346,2.9991,1048,0.264314667,0.263392995,6.6491,7.5721,11.2531,1051,0.222205333,0.218401118,3.7538,2.3869,8.3985
21.0,0.205404037,0.204086193,2.4756,2.6365,3.7165,24,0.194803556,0.194348914,2.4952,2.7872,4.2841,27,0.243351407,0.241780117,7.0463,4.3242,1.9199,78,0.20185363,0.200838333,1.6416,1.8768,3.4101,81,0.173253037,0.17123959600000002,1.2725,3.1937,4.1857,996,0.23650963,0.2351873,2.7986,4.9818,4.216,999,0.198560889,0.19653835600000005,1.6499,1.4018,2.6503,1050,0.222893037,0.221010814,2.141,1.8933,5.1349,1053,0.17200711100000002,0.17003749899999998,0.9175,0.913,1.2435
23.0,0.205092741,0.203592936,2.2728,2.8175,2.8047,26,0.214898074,0.213251754,5.3332,2.3236,2.2108,29,0.244262519,0.242344414,1.1891,1.4668,1.505,80,0.195660444,0.192962803,2.4951,4.0131,5.746,83,0.194670222,0.193229277,1.2658,3.4819,1.79,998,0.209404444,0.20860611,3.5783,2.0648,2.8017,1001,0.19924148100000005,0.197832605,0.4978,3.9746,2.8595,1052,0.19792,0.19707056,2.9714,2.6386,7.9321,1055,0.184684741,0.18221013100000005,1.7392,1.0729,1.1765
25.0,0.216295667,0.214713373,1.7755,3.8862,1.9445,28,0.263295407,0.262909916,7.7547,7.2032,2.083,31,0.262061926,0.25889489600000004,0.6359,7.2381,28.3539,82,0.179442667,0.177915995,0.7264,2.4239,2.4612,85,0.24857392600000006,0.247971712,2.3141,5.1468,1.0164,1000,0.195160889,0.192482672,1.1782,2.7745,2.5468,1003,0.21786548100000006,0.216036882,1.4798,3.8823,1.7098,1054,0.162480593,0.160262574,1.1191,0.8608,1.1162,1057,0.201484444,0.199296445,2.443,2.9134,2.2889
27.0,0.218898593,0.21759532,2.2093,3.1598,2.1326,30,0.261473481,0.26088785,0.7531,1.2839,28.5114,33,0.191914667,0.19159460600000006,3.8609,2.0669,1.1028,84,0.226537185,0.224948607,2.1602,2.0558,0.8326,87,0.234713778,0.234261751,2.1363,2.7349,2.8493,1002,0.206981037,0.20403272600000005,0.5046,4.2537,1.4627,1005,0.210344593,0.208746692,1.2474,5.4942,3.5709,1056,0.193429333,0.190353856,2.1512,1.5199,0.8862,1059,0.225794667,0.223283559,1.2817,4.1506,3.9338
