case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.203289977,0.195857629,2.064,1,0.192573111,0.186276314,1.25703306,1.222586399,1.32697957,0.214706667,0.212278959,1.716068817,2.059576252,2.271454049,0.182046593,0.178697347,0.753037183,0.976568084,1.03957242,0.20562063,0.203030403,1.72120224,1.69146945,1.026279099,0.223070259,0.221617576,2.047303605,2.681112997,2.469481172,0.192143667,0.189705554,1.508988942,1.352765391,1.756517265,0.221940111,0.219170692,3.159919141,2.351380475,2.4715138,0.194218778,0.191111889,2.16210137,2.178725137,1.549192721
11,0.203957394,0.196355657,2.1495,1,0.193709185,0.191059238,1.038042727,1.421875792,1.334238897,0.209877444,0.207184286,1.73389922,1.74178384,2.553524076,0.192391704,0.189537902,1.200313678,1.732425906,1.208379001,0.214970444,0.209058937,1.66372237,2.05196259,1.734800205,0.212581259,0.210644008,1.826879022,1.962584111,2.149728243,0.201207852,0.198241937,1.788396322,1.373898224,1.406630379,0.220752222,0.218328277,3.062253472,2.111187926,2.03927104,0.186169037,0.183180992,1.442271448,2.107147262,1.798747076
19,0.200437787,0.192264591,2.0864,1,0.193805037,0.190829236,1.538048602,1.361955725,1.389584722,0.200902778,0.197387051,1.293400601,1.770811477,1.942864871,0.204256444,0.20237088,1.493417942,1.407368243,1.849970443,0.206245333,0.203346308,2.766053021,1.878794666,1.679299407,0.206125,0.20279763,1.948093273,2.105675443,2.611647065,0.198624185,0.194607635,1.246827993,1.264757609,0.95782233,0.213100852,0.211692871,1.90902293,2.315038542,2.098719085,0.180442667,0.177196795,1.096816722,1.464865378,1.176859505
21,0.203019269,0.195705981,2.1089,1,0.196158889,0.193894076,1.274014155,1.515459503,1.364641104,0.203914889,0.200731773,1.287016659,1.278164124,1.597451387,0.189234148,0.186169626,1.112061054,1.421567765,1.223851947,0.216593926,0.214533251,3.184281084,2.165525704,1.731335133,0.21652237,0.214501383,2.436735224,2.404750026,2.518613955,0.210542222,0.205974699,2.297072871,1.810169507,1.879489566,0.211640889,0.209495386,2.776121786,1.976610114,1.28403191,0.179546815,0.175536904,1.082286317,1.807694706,1.492762405
23,0.200547301,0.193203779,2.0799,1,0.194572926,0.1921081,1.457185606,1.494853203,1.630139364,0.198224667,0.195207579,1.294491362,1.39366786,1.859300696,0.192661519,0.189389648,1.326704504,1.483406839,1.059377368,0.21079463,0.208461764,2.835776107,2.017513403,1.355161198,0.211259667,0.208057183,2.079380949,2.30669651,2.834922323,0.207523852,0.203561069,1.48438782,1.92850703,1.623489892,0.210980407,0.208767971,2.140557745,1.731072037,1.276509512,0.178360741,0.174539307,1.102628302,1.600653191,1.235764116
1,0.203289977,0.195857629,2.3188,2,0.192573111,0.186276314,1.222586399,1.25703306,1.32697957,0.223070259,0.221617576,2.681112997,2.047303605,2.469481172,0.182046593,0.178697347,0.976568084,0.753037183,1.03957242,0.221940111,0.219170692,2.351380475,3.159919141,2.4715138,0.214706667,0.212278959,2.059576252,1.716068817,2.271454049,0.192143667,0.189705554,1.352765391,1.508988942,1.756517265,0.20562063,0.203030403,1.69146945,1.72120224,1.026279099,0.194218778,0.191111889,2.178725137,2.16210137,1.549192721
11,0.203957394,0.196355657,2.3372,2,0.193709185,0.191059238,1.421875792,1.038042727,1.334238897,0.212581259,0.210644008,1.962584111,1.826879022,2.149728243,0.192391704,0.189537902,1.732425906,1.200313678,1.208379001,0.220752222,0.218328277,2.111187926,3.062253472,2.03927104,0.209877444,0.207184286,1.74178384,1.73389922,2.553524076,0.201207852,0.198241937,1.373898224,1.788396322,1.406630379,0.214970444,0.209058937,2.05196259,1.66372237,1.734800205,0.186169037,0.183180992,2.107147262,1.442271448,1.798747076
19,0.200437787,0.192264591,2.2231,2,0.193805037,0.190829236,1.361955725,1.538048602,1.389584722,0.206125,0.20279763,2.105675443,1.948093273,2.611647065,0.204256444,0.20237088,1.407368243,1.493417942,1.849970443,0.213100852,0.211692871,2.315038542,1.90902293,2.098719085,0.200902778,0.197387051,1.770811477,1.293400601,1.942864871,0.198624185,0.194607635,1.264757609,1.246827993,0.95782233,0.206245333,0.203346308,1.878794666,2.766053021,1.679299407,0.180442667,0.177196795,1.464865378,1.096816722,1.176859505
21,0.203019269,0.195705981,2.2417,2,0.196158889,0.193894076,1.515459503,1.274014155,1.364641104,0.21652237,0.214501383,2.404750026,2.436735224,2.518613955,0.189234148,0.186169626,1.421567765,1.112061054,1.223851947,0.211640889,0.209495386,1.976610114,2.776121786,1.28403191,0.203914889,0.200731773,1.278164124,1.287016659,1.597451387,0.210542222,0.205974699,1.810169507,2.297072871,1.879489566,0.216593926,0.214533251,2.165525704,3.184281084,1.731335133,0.179546815,0.175536904,1.807694706,1.082286317,1.492762405
23,0.200547301,0.193203779,2.2488,2,0.194572926,0.1921081,1.494853203,1.457185606,1.630139364,0.211259667,0.208057183,2.30669651,2.079380949,2.834922323,0.192661519,0.189389648,1.483406839,1.326704504,1.059377368,0.210980407,0.208767971,1.731072037,2.140557745,1.276509512,0.198224667,0.195207579,1.39366786,1.294491362,1.859300696,0.207523852,0.203561069,1.92850703,1.48438782,1.623489892,0.21079463,0.208461764,2.017513403,2.835776107,1.355161198,0.178360741,0.174539307,1.600653191,1.102628302,1.235764116
