case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.203289977,0.195857629,2.064,1,0.192573111,0.186276314,1.4259727,1.509753,1.5054014,0.214706667,0.212278959,2.0619648,2.33813,2.5443182,0.182046593,0.178697347,1.0013103,1.221338,1.2079911,0.20562063,0.203030403,1.9305766,1.9095817,1.4604208,0.223070259,0.221617576,2.2720325,2.9428673,2.7560306,0.192143667,0.189705554,1.6258749,1.5069761,1.6667155,0.221940111,0.219170692,3.652709,3.0803723,3.19589,0.194218778,0.191111889,2.268085,2.4018655,1.71328
11,0.203957394,0.196355657,2.1495,1,0.193709185,0.191059238,1.3857415,1.5815238,1.4858873,0.209877444,0.207184286,1.9923143,1.9122446,2.7917628,0.192391704,0.189537902,1.4624193,1.8638391,1.343754,0.214970444,0.209058937,2.167416,2.438233,1.8852873,0.212581259,0.210644008,1.9459949,2.1668751,2.2709308,0.201207852,0.198241937,1.9840118,1.6838753,1.4889779,0.220752222,0.218328277,3.5263143,2.7835274,2.4524207,0.186169037,0.183180992,1.5305016,2.1792345,2.031014
19,0.200437787,0.192264591,2.0864,1,0.193805037,0.190829236,1.5618703,1.5456958,1.4649401,0.200902778,0.197387051,1.6016337,1.9738224,2.1277614,0.204256444,0.20237088,1.6576409,1.5570948,1.8808298,0.206245333,0.203346308,2.9203267,2.2094495,1.7314942,0.206125,0.20279763,2.0370855,2.351469,2.8642087,0.198624185,0.194607635,1.6107206,1.5388377,1.3000871,0.213100852,0.211692871,2.1170847,2.5853233,2.3724017,0.180442667,0.177196795,1.3256578,1.5472907,1.4099015
21,0.203019269,0.195705981,2.1089,1,0.196158889,0.193894076,1.4812157,1.5740471,1.5322211,0.203914889,0.200731773,1.4573092,1.5402274,1.6171495,0.189234148,0.186169626,1.4387211,1.7016828,1.333334,0.216593926,0.214533251,3.4266353,2.4589376,1.8582165,0.21652237,0.214501383,2.5994358,2.738752,2.7080739,0.210542222,0.205974699,2.5228293,2.1586142,2.1775253,0.211640889,0.209495386,3.0920026,2.328767,1.6319261,0.179546815,0.175536904,1.4381241,1.8536057,1.6047741
23,0.200547301,0.193203779,2.0799,1,0.194572926,0.1921081,1.5234618,1.5751138,1.656132,0.198224667,0.195207579,1.5657527,1.6502194,1.9692688,0.192661519,0.189389648,1.5218009,1.6484718,1.290814,0.21079463,0.208461764,3.0356994,2.3144758,1.5359747,0.211259667,0.208057183,2.1789362,2.6052449,3.0317526,0.207523852,0.203561069,1.7968549,2.1571279,1.7727339,0.210980407,0.208767971,2.3237514,1.9776783,1.5837235,0.178360741,0.174539307,1.7846708,1.6058272,1.3564305
1,0.203289977,0.195857629,2.3188,2,0.192573111,0.186276314,1.509753,1.4259727,1.5054014,0.223070259,0.221617576,2.9428673,2.2720325,2.7560306,0.182046593,0.178697347,1.221338,1.0013103,1.2079911,0.221940111,0.219170692,3.0803723,3.652709,3.19589,0.214706667,0.212278959,2.33813,2.0619648,2.5443182,0.192143667,0.189705554,1.5069761,1.6258749,1.6667155,0.20562063,0.203030403,1.9095817,1.9305766,1.4604208,0.194218778,0.191111889,2.4018655,2.268085,1.71328
11,0.203957394,0.196355657,2.3372,2,0.193709185,0.191059238,1.5815238,1.3857415,1.4858873,0.212581259,0.210644008,2.1668751,1.9459949,2.2709308,0.192391704,0.189537902,1.8638391,1.4624193,1.343754,0.220752222,0.218328277,2.7835274,3.5263143,2.4524207,0.209877444,0.207184286,1.9122446,1.9923143,2.7917628,0.201207852,0.198241937,1.6838753,1.9840118,1.4889779,0.214970444,0.209058937,2.438233,2.167416,1.8852873,0.186169037,0.183180992,2.1792345,1.5305016,2.031014
19,0.200437787,0.192264591,2.2231,2,0.193805037,0.190829236,1.5456958,1.5618703,1.4649401,0.206125,0.20279763,2.351469,2.0370855,2.8642087,0.204256444,0.20237088,1.5570948,1.6576409,1.8808298,0.213100852,0.211692871,2.5853233,2.1170847,2.3724017,0.200902778,0.197387051,1.9738224,1.6016337,2.1277614,0.198624185,0.194607635,1.5388377,1.6107206,1.3000871,0.206245333,0.203346308,2.2094495,2.9203267,1.7314942,0.180442667,0.177196795,1.5472907,1.3256578,1.4099015
21,0.203019269,0.195705981,2.2417,2,0.196158889,0.193894076,1.5740471,1.4812157,1.5322211,0.21652237,0.214501383,2.738752,2.5994358,2.7080739,0.189234148,0.186169626,1.7016828,1.4387211,1.333334,0.211640889,0.209495386,2.328767,3.0920026,1.6319261,0.203914889,0.200731773,1.5402274,1.4573092,1.6171495,0.210542222,0.205974699,2.1586142,2.5228293,2.1775253,0.216593926,0.214533251,2.4589376,3.4266353,1.8582165,0.179546815,0.175536904,1.8536057,1.4381241,1.6047741
23,0.200547301,0.193203779,2.2488,2,0.194572926,0.1921081,1.5751138,1.5234618,1.656132,0.211259667,0.208057183,2.6052449,2.1789362,3.0317526,0.192661519,0.189389648,1.6484718,1.5218009,1.290814,0.210980407,0.208767971,1.9776783,2.3237514,1.5837235,0.198224667,0.195207579,1.6502194,1.5657527,1.9692688,0.207523852,0.203561069,2.1571279,1.7968549,1.7727339,0.21079463,0.208461764,2.3144758,3.0356994,1.5359747,0.178360741,0.174539307,1.6058272,1.7846708,1.3564305
1,0.203289977,0.195857629,2.2892,3,0.192573111,0.186276314,1.5054014,1.509753,1.4259727,0.214706667,0.212278959,2.5443182,2.33813,2.0619648,0.223070259,0.221617576,2.7560306,2.9428673,2.2720325,0.192143667,0.189705554,1.6667155,1.5069761,1.6258749,0.182046593,0.178697347,1.2079911,1.221338,1.0013103,0.20562063,0.203030403,1.4604208,1.9095817,1.9305766,0.221940111,0.219170692,3.19589,3.0803723,3.652709,0.194218778,0.191111889,1.71328,2.4018655,2.268085
11,0.203957394,0.196355657,2.2529,3,0.193709185,0.191059238,1.4858873,1.5815238,1.3857415,0.209877444,0.207184286,2.7917628,1.9122446,1.9923143,0.212581259,0.210644008,2.2709308,2.1668751,1.9459949,0.201207852,0.198241937,1.4889779,1.6838753,1.9840118,0.192391704,0.189537902,1.343754,1.8638391,1.4624193,0.214970444,0.209058937,1.8852873,2.438233,2.167416,0.220752222,0.218328277,2.4524207,2.7835274,3.5263143,0.186169037,0.183180992,2.031014,2.1792345,1.5305016
19,0.200437787,0.192264591,2.1739,3,0.193805037,0.190829236,1.4649401,1.5456958,1.5618703,0.200902778,0.197387051,2.1277614,1.9738224,1.6016337,0.206125,0.20279763,2.8642087,2.351469,2.0370855,0.198624185,0.194607635,1.3000871,1.5388377,1.6107206,0.204256444,0.20237088,1.8808298,1.5570948,1.6576409,0.206245333,0.203346308,1.7314942,2.2094495,2.9203267,0.213100852,0.211692871,2.3724017,2.5853233,2.1170847,0.180442667,0.177196795,1.4099015,1.5472907,1.3256578
21,0.203019269,0.195705981,2.2168,3,0.196158889,0.193894076,1.5322211,1.5740471,1.4812157,0.203914889,0.200731773,1.6171495,1.5402274,1.4573092,0.21652237,0.214501383,2.7080739,2.738752,2.5994358,0.210542222,0.205974699,2.1775253,2.1586142,2.5228293,0.189234148,0.186169626,1.333334,1.7016828,1.4387211,0.216593926,0.214533251,1.8582165,2.4589376,3.4266353,0.211640889,0.209495386,1.6319261,2.328767,3.0920026,0.179546815,0.175536904,1.6047741,1.8536057,1.4381241
23,0.200547301,0.193203779,2.1689,3,0.194572926,0.1921081,1.656132,1.5751138,1.5234618,0.198224667,0.195207579,1.9692688,1.6502194,1.5657527,0.211259667,0.208057183,3.0317526,2.6052449,2.1789362,0.207523852,0.203561069,1.7727339,2.1571279,1.7968549,0.192661519,0.189389648,1.290814,1.6484718,1.5218009,0.21079463,0.208461764,1.5359747,2.3144758,3.0356994,0.210980407,0.208767971,1.5837235,1.9776783,2.3237514,0.178360741,0.174539307,1.3564305,1.6058272,1.7846708
