case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.203289977,0.195857629,2.064,1,0.192573111,0.186276314,1.370518,1.3413231,1.4065728,0.214706667,0.212278959,1.8626277,2.2018883,2.4947755,0.182046593,0.178697347,0.94562304,1.1344559,1.1390976,0.20562063,0.203030403,1.7564231,1.7884206,1.2240353,0.223070259,0.221617576,2.153532,2.6158514,2.6997836,0.192143667,0.189705554,1.5756893,1.3951896,1.7541438,0.221940111,0.219170692,3.3371933,2.6280303,2.825943,0.194218778,0.191111889,2.1464384,2.231667,1.6639146
11,0.203957394,0.196355657,2.1495,1,0.193709185,0.191059238,1.3158859,1.4750885,1.4100155,0.209877444,0.207184286,1.9220289,2.002542,2.4198666,0.192391704,0.189537902,1.3608207,1.6961547,1.332107,0.214970444,0.209058937,1.9962683,2.174575,1.7915211,0.212581259,0.210644008,1.8614887,2.0651762,2.2446468,0.201207852,0.198241937,1.8744364,1.4857132,1.4377786,0.220752222,0.218328277,3.1915898,2.4375162,2.3317866,0.186169037,0.183180992,1.6152118,2.1623998,1.8767598
19,0.200437787,0.192264591,2.0864,1,0.193805037,0.190829236,1.6032704,1.4361862,1.408636,0.200902778,0.197387051,1.5460838,1.9093957,2.0466712,0.204256444,0.20237088,1.6766158,1.50731,1.866726,0.206245333,0.203346308,2.9232018,2.093763,1.6355169,0.206125,0.20279763,2.0112274,2.2184844,2.667513,0.198624185,0.194607635,1.6674423,1.4073414,1.1171162,0.213100852,0.211692871,2.1485553,2.4632792,2.236797,0.180442667,0.177196795,1.2557687,1.5723597,1.3183979
21,0.203019269,0.195705981,2.1089,1,0.196158889,0.193894076,1.4428806,1.5516474,1.4208485,0.203914889,0.200731773,1.4250907,1.4271307,1.5700254,0.189234148,0.186169626,1.3088876,1.5053606,1.2220103,0.216593926,0.214533251,3.3082638,2.369681,1.7582434,0.21652237,0.214501383,2.4973845,2.5966258,2.6635711,0.210542222,0.205974699,2.4294734,1.9333491,1.9472882,0.211640889,0.209495386,2.8115246,2.1823761,1.465052,0.179546815,0.175536904,1.3850302,1.8658035,1.5692469
23,0.200547301,0.193203779,2.0799,1,0.194572926,0.1921081,1.5316088,1.5289196,1.6754675,0.198224667,0.195207579,1.5080897,1.5561479,1.8860873,0.192661519,0.189389648,1.4660662,1.4944125,1.1211392,0.21079463,0.208461764,2.9675379,2.2733498,1.4563204,0.211259667,0.208057183,2.2624092,2.449902,2.9273152,0.207523852,0.203561069,1.7138933,2.1588154,1.6638695,0.210980407,0.208767971,2.1543443,1.8102348,1.3682308,0.178360741,0.174539307,1.2315845,1.5919138,1.3548319
1,0.203289977,0.195857629,2.3188,2,0.192573111,0.186276314,1.3413231,1.370518,1.4065728,0.223070259,0.221617576,2.6158514,2.153532,2.6997836,0.182046593,0.178697347,1.1344559,0.94562304,1.1390976,0.221940111,0.219170692,2.6280303,3.3371933,2.825943,0.214706667,0.212278959,2.2018883,1.8626277,2.4947755,0.192143667,0.189705554,1.3951896,1.5756893,1.7541438,0.20562063,0.203030403,1.7884206,1.7564231,1.2240353,0.194218778,0.191111889,2.231667,2.1464384,1.6639146
11,0.203957394,0.196355657,2.3372,2,0.193709185,0.191059238,1.4750885,1.3158859,1.4100155,0.212581259,0.210644008,2.0651762,1.8614887,2.2446468,0.192391704,0.189537902,1.6961547,1.3608207,1.332107,0.220752222,0.218328277,2.4375162,3.1915898,2.3317866,0.209877444,0.207184286,2.002542,1.9220289,2.4198666,0.201207852,0.198241937,1.4857132,1.8744364,1.4377786,0.214970444,0.209058937,2.174575,1.9962683,1.7915211,0.186169037,0.183180992,2.1623998,1.6152118,1.8767598
19,0.200437787,0.192264591,2.2231,2,0.193805037,0.190829236,1.4361862,1.6032704,1.408636,0.206125,0.20279763,2.2184844,2.0112274,2.667513,0.204256444,0.20237088,1.50731,1.6766158,1.866726,0.213100852,0.211692871,2.4632792,2.1485553,2.236797,0.200902778,0.197387051,1.9093957,1.5460838,2.0466712,0.198624185,0.194607635,1.4073414,1.6674423,1.1171162,0.206245333,0.203346308,2.093763,2.9232018,1.6355169,0.180442667,0.177196795,1.5723597,1.2557687,1.3183979
21,0.203019269,0.195705981,2.2417,2,0.196158889,0.193894076,1.5516474,1.4428806,1.4208485,0.21652237,0.214501383,2.5966258,2.4973845,2.6635711,0.189234148,0.186169626,1.5053606,1.3088876,1.2220103,0.211640889,0.209495386,2.1823761,2.8115246,1.465052,0.203914889,0.200731773,1.4271307,1.4250907,1.5700254,0.210542222,0.205974699,1.9333491,2.4294734,1.9472882,0.216593926,0.214533251,2.369681,3.3082638,1.7582434,0.179546815,0.175536904,1.8658035,1.3850302,1.5692469
23,0.200547301,0.193203779,2.2488,2,0.194572926,0.1921081,1.5289196,1.5316088,1.6754675,0.211259667,0.208057183,2.449902,2.2624092,2.9273152,0.192661519,0.189389648,1.4944125,1.4660662,1.1211392,0.210980407,0.208767971,1.8102348,2.1543443,1.3682308,0.198224667,0.195207579,1.5561479,1.5080897,1.8860873,0.207523852,0.203561069,2.1588154,1.7138933,1.6638695,0.21079463,0.208461764,2.2733498,2.9675379,1.4563204,0.178360741,0.174539307,1.5919138,1.2315845,1.3548319
