case-name,P,EP,KX,KY,KZ,c1,p1,ep1,kx1,ky1,kz1,c2,p2,ep2,kx2,ky2,kz2,c3,p3,ep3,kx3,ky3,kz3,c4,p4,ep4,kx4,ky4,kz4,c5,p5,ep5,kx5,ky5,kz5,c6,p6,ep6,kx6,ky6,kz6,c7,p7,ep7,kx7,ky7,kz7,c8,p8,ep8,kx8,ky8,kz8
1.0,0.192573111,0.186276314,1.4912,1.7233,1.6372,1,0.193009481,0.191142272,2.446,0.6735,1.6562,7,0.230392,0.22459704100000005,1.6612,2.4285,2.2559,139,0.223500741,0.219881127,2.2759,3.2946,1.7586,145,0.187422815,0.15357395599999998,1.7397,0.8782,1.0539,3175,0.157196444,0.14488221,0.3921,0.8811,1.2856,3181,0.207659259,0.201870639,1.6779,2.5729,1.7019,3313,0.168666963,0.163865664,0.6920000000000001,1.5624,1.1966,3319,0.172737185,0.16743506800000002,1.4183,0.6886,0.6095
3.0,0.193239296,0.190980261,1.67,1.6086,2.0374,3,0.225934519,0.222174145,3.4934,2.0561,3.3575,9,0.190241778,0.187492254,0.8634,1.1048,1.2138,141,0.222423407,0.219558672,2.6338,3.6345,2.0477,147,0.190385778,0.179798105,1.9915,0.9114,1.6032,3177,0.145781333,0.115255483,0.4622,0.9503,0.4865,3183,0.230755852,0.229087906,1.723,2.992,3.0856,3315,0.163042963,0.160468684,1.6715,1.3917,1.499,3321,0.177348741,0.170904825,2.076,0.8795,1.3581
5.0,0.202113222,0.199160557,1.6778,1.6855,2.0529,5,0.254325333,0.25291827100000003,3.6061,2.6663,3.2796,11,0.202258963,0.200400555,2.2887,1.1661,1.3161,143,0.214112889,0.206780249,1.7749,2.3016,1.5889,149,0.20627437,0.201723966,2.6058,2.7177,2.5763,3179,0.170371259,0.168425947,0.7695,1.3082,0.7667,3185,0.224086519,0.219500451,1.5209,2.2153,2.9091,3317,0.151802667,0.14720098,1.1211,0.7018,0.6843,3323,0.193673778,0.185214912,1.5141,2.4144,2.4521
13.0,0.214706667,0.212278959,2.1758,2.7908,2.8160000000000003,13,0.213592296,0.212264234,2.445,4.1813,1.5317,19,0.252805926,0.247928046,1.8816,4.1773,2.0382,151,0.223473481,0.214247112,3.5437,4.4222,3.1853,157,0.184604741,0.180624398,2.5644,1.2575,1.7054,3187,0.210930667,0.20782711,1.6698,1.3941,1.94,3193,0.244727407,0.243138237,2.5402,1.1603,9.974,3325,0.189467259,0.184380782,1.2211,1.953,2.3633,3331,0.198051556,0.19436235,0.4687,0.4724,1.6869999999999998
15.0,0.211278074,0.208762429,2.0857,2.7348,2.4716,15,0.218395259,0.216979027,2.3116,4.7978,1.4325,21,0.267223704,0.264350889,2.8589,4.5728,2.5566,153,0.205176593,0.192722081,2.8362,3.2615,2.3879,159,0.173671407,0.163860066,1.837,1.839,1.7933,3189,0.236780444,0.234261751,3.266,2.0284,3.1782,3195,0.214261333,0.212136595,1.5116,1.1014,5.5168,3327,0.213589333,0.210038394,1.3492,2.7641,2.1338,3333,0.161126519,0.155171679,0.3144,0.4075,1.3504
17.0,0.211020741,0.208781827,1.9054,2.7438,2.2975,17,0.231865778,0.229264809,1.0347,4.7191,0.893,23,0.247946074,0.246234035,2.8589,4.6944,2.1934,155,0.19600829600000005,0.19263139,2.8024,1.5101,0.3317,161,0.179734815,0.17730691199999998,1.0984,1.4662,1.9638,3191,0.258079407,0.256480957,2.8483,2.9181,10.2577,3197,0.194535704,0.193548373,1.4615,1.5867,1.5987,3329,0.205395259,0.203144786,1.1198,1.4465,1.9423,3335,0.174600593,0.168711455,1.1214,1.0743,1.3853
19.0,0.189895852,0.187197706,1.5302,1.6806,1.6675,25,0.214493037,0.210404516,3.5215,2.5141,2.2604,31,0.221752593,0.217644092,1.3531,2.1395,2.0616,163,0.214473481,0.208966901,1.6132,3.4103,1.6733,169,0.17620503699999998,0.100133995,1.0527,0.6293,0.6741,3199,0.161682667,0.150742393,0.5406,0.9712,0.4835,3205,0.203630519,0.201386955,1.9525,1.8482,2.0538,3337,0.153884741,0.146159717,1.2392,1.2712,1.7241,3343,0.173044741,0.164900209,1.0202,0.7246,0.7285
21.0,0.191967815,0.188706571,1.5839,1.5714,1.7865,27,0.253890074,0.25190164,4.2901,4.6941,3.5079,33,0.17807288899999998,0.171663939,0.522,1.4554,0.9333,165,0.20216829600000005,0.197118897,1.7856,3.0341,2.1061,171,0.180840593,0.17175798899999994,1.8295,0.9913,1.6362,3201,0.147522963,0.13426692699999998,0.5201,1.0405,0.7251,3207,0.236072,0.234792459,2.1823,2.467,3.383,3339,0.156064889,0.148550143,1.217,0.6672,1.3048,3345,0.181110815,0.17517960100000002,1.3423,1.2373,1.0748
31.0,0.207933037,0.204953548,1.9673,2.5426,2.4473,37,0.213783407,0.210092137,2.1358,5.8202,2.0497,43,0.252575704,0.251884845,3.2208,3.9269,2.3644,175,0.21569837,0.19957986100000005,2.845,3.9732,2.0889,181,0.173399704,0.16737908599999998,1.0231,1.4147,1.6972,3211,0.252110815,0.25026249100000003,3.4611,3.1444,8.9459,3217,0.199854519,0.197879131,1.3595,0.7036,8.4675,3349,0.182320593,0.17899308600000002,1.2319,1.2967,1.4729,3355,0.173721185,0.166795755,0.3137,0.6025,1.9193
33.0,0.212014889,0.208988274,2.0796,2.7578,2.7262,39,0.229530963,0.226589995,2.2034,3.8714,2.1504,45,0.273409185,0.271559115,3.6678,5.0912,3.3617,177,0.20635763,0.199725413,3.1063,2.5564,1.9113,183,0.17979229600000002,0.17336019,0.0434,2.9745,1.8338,3213,0.263075556,0.26169063,2.4733,4.3522,15.6906,3219,0.182270815,0.17830227,1.0048,0.7194,1.3298,3351,0.190941333,0.189304947,1.2656,1.5806,1.2027,3357,0.170741333,0.15532283,0.9703,0.9456,2.1763
35.0,0.193709185,0.191059238,1.4755,1.8841,1.4256,47,0.219882667,0.218519648,3.5776,1.0936,2.5964,53,0.223204444,0.217752697,1.6597,3.1236,2.411,185,0.240129185,0.238313719,3.9871,2.9024,1.1788,191,0.17299437,0.163387579,0.9312,1.1291,1.1002,3221,0.180634667,0.17822725399999995,0.7773,1.096,1.6581,3227,0.196097185,0.19505316600000006,2.8765,2.152,1.7629,3359,0.14799585199999998,0.13659913199999998,0.107,1.2386,1.3771,3365,0.16873511100000002,0.158900072,0.2668,0.6709999999999999,0.4133
37.0,0.189644741,0.186802823,1.6028,1.6149,1.7664,49,0.239615704,0.237720311,4.1958,3.1103,3.4760000000000004,55,0.200436148,0.195228949,1.2565,1.8396,1.8166,187,0.200249778,0.198193749,1.6401,2.5812,1.8505,193,0.175150815,0.16362718099999998,0.4963,0.5227,1.6268,3223,0.162687111,0.158296587,1.1891,1.1876,1.6552,3229,0.210988444,0.21023769,2.5188,1.443,2.4856,3361,0.146416889,0.130132106,0.7931,1.267,1.5614,3367,0.181613037,0.17467016600000002,1.1334,0.7455,0.7059
39.0,0.19478692600000005,0.19169382,1.5392,1.5722,1.5667,51,0.253349926,0.251074228,3.2489,4.7319,3.5458,57,0.231969778,0.229654443,2.8031,1.5939,3.0216,189,0.177813926,0.162373187,1.0602,2.1234,1.6731,195,0.188368296,0.181300659,0.6604,1.6956,1.7978,3225,0.169607111,0.167936666,1.7556,1.2405,0.9796,3231,0.218723259,0.217069718,1.834,1.3088,2.4032,3363,0.141241481,0.128887069,0.6281,0.6331,0.5391,3369,0.17722163,0.173906573,1.0477,1.6833,0.4849
47.0,0.209877444,0.207184286,2.0152,2.1537,2.5804,59,0.225959111,0.219485895,2.7198,4.263,2.1063,65,0.241551407,0.23994727,2.7486,3.082,2.2462,197,0.210385778,0.202483081,2.8179,2.8560000000000003,2.4527,203,0.194248889,0.191045984,1.2687,1.1434,1.9563,3233,0.21728000000000006,0.21474535,2.3319,1.8167,2.6213,3239,0.231566519,0.229558154,2.2030000000000003,0.3905,16.2483,3371,0.170733037,0.16767579,1.0337,1.279,0.8812,3377,0.187294815,0.18296108100000005,0.2494,0.8962,2.5701
49.0,0.205449741,0.201937202,1.8833,2.1987,2.4005,61,0.219717926,0.211250962,2.1838,4.2129,2.0243,67,0.25515437,0.25369306,3.8598,3.4888,2.9247,199,0.217379852,0.210959856,3.252,3.4019,2.1452,205,0.163238815,0.152618905,0.4961,1.6614,1.6469999999999998,3235,0.261646815,0.259797323,3.3614,3.9302,16.7355,3241,0.17553896300000002,0.171918097,0.9581,0.3282,3.6562,3373,0.17972444399999998,0.17595439,1.3219,1.0431,1.6179,3379,0.171196741,0.164171325,0.2792,1.8903,3.0956
51.0,0.205503333,0.202972209,1.5537,2.0913,2.1383,63,0.207223704,0.196652008,1.399,3.5978,0.3616,69,0.264621926,0.264088894,3.761,5.0636,3.6743,201,0.209568593,0.20671643,2.9012,1.6307,1.2275,207,0.157190222,0.153052205,0.3293,0.2669,1.5438,3237,0.259742519,0.25796671600000004,2.5615,3.2251,20.4409,3243,0.158904889,0.152099394,0.2304,0.3704,1.2307,3375,0.193297185,0.190104368,1.0802,0.9734,2.1308,3381,0.19347763,0.18750121100000006,1.5404,2.4362,3.0394
53.0,0.19393537,0.191278155,1.5308,1.6381,1.5490000000000002,71,0.22899763,0.226321282,3.2997,3.5112,1.86,77,0.215074074,0.212110843,1.8726,1.6282,2.2049,209,0.23005037,0.223556897,2.2437,2.6884,1.8003,215,0.17944029600000005,0.171714323,0.4531,1.1035,0.8095,3245,0.163310815,0.15760913,1.1509,0.9757,1.4303,3251,0.201882667,0.200614406,2.8273,1.5596,2.1275,3383,0.155272889,0.148931939,0.6886,1.304,1.9877,3389,0.177454222,0.167514563,0.8313,1.2202,0.5636
55.0,0.193805037,0.190829236,1.5904,1.3991,1.505,73,0.242449481,0.240063713,3.5322,5.5502,2.5973,79,0.208771852,0.200223652,2.096,1.3869,1.7275,211,0.200799111,0.187650123,0.8634,2.0966,1.8039,217,0.17764474100000002,0.17182628600000002,0.7701,1.0328,1.4262,3247,0.159074074,0.15613120800000002,1.2953,0.8536,1.0581,3253,0.20968237,0.206237225,3.07,1.0703,2.4725,3385,0.158282074,0.146713937,0.8448,0.6309,0.6406,3391,0.193736593,0.18941915,0.9322,1.1236,0.6566
65.0,0.199428667,0.195339206,1.5943,1.7662,2.2112,83,0.221616889,0.217443677,1.5482,3.1635,1.9134,89,0.226387852,0.225768181,3.7955,2.0129,4.0436,221,0.219583704,0.216764057,3.292,2.9997,1.4902,227,0.162157333,0.158791467,0.9949,0.9084,1.2691,3257,0.227529185,0.223480762,2.2849,1.9282,3.4665,3263,0.175402963,0.170614839,0.8792,0.4484,1.8933,3395,0.188625481,0.178092898,1.0847,0.5352,1.5797,3401,0.174125926,0.167792233,0.4513,1.0587,2.7818
67.0,0.200902778,0.197387051,1.5530000000000002,1.7877,2.1994,85,0.199811852,0.19504197,1.4269,1.6124,1.3999,91,0.256290963,0.256098041,4.2474,4.6872,5.9188,223,0.223855407,0.222974686,3.9329,2.4374,2.1939,229,0.16072563,0.154005017,0.6843,2.0938,1.5612,3259,0.250756741,0.248709553,1.8206,2.9973,2.8001,3265,0.144834074,0.138784665,0.3389,0.4069,0.8916,3397,0.17889688899999998,0.171787099,1.1406,0.9379,1.5996,3403,0.192050667,0.182198608,1.1822,2.5594,2.5035
69.0,0.196158889,0.19389407600000005,1.3205,1.6369999999999998,1.4178,93,0.218832889,0.216769655,1.9846,2.7208,2.1703,99,0.209696296,0.185902369,2.1484,1.4738,1.8604,231,0.239675259,0.238424563,4.5253,2.3602,1.4804,237,0.197907556,0.194606431,0.6043,1.606,1.1245,3267,0.168115259,0.164267614,0.8998,0.8841,1.1534,3273,0.203167704,0.200651354,2.7363,1.5644,1.8349,3405,0.164618074,0.15994805199999998,0.2708,1.3041,2.147,3411,0.167258074,0.151425372,1.1266,0.892,0.4388
71.0,0.194572926,0.1921081,1.4168,1.4988,1.757,95,0.228003852,0.225413256,2.682,3.1884,2.5703,101,0.202505481,0.198145605,2.0381,1.4414,1.6047,233,0.203305481,0.199471256,1.1087,1.9521,1.6957,239,0.201368296,0.192807173,0.8416,2.38,1.9968,3269,0.164746963,0.162742668,1.5316,1.0971,1.3342,3275,0.200391704,0.19506772100000005,2.1389,0.5476,2.2471,3407,0.154238519,0.14948951900000002,0.4874,1.1069,1.959,3413,0.202023111,0.195673445,1.4625,1.0585,0.6471
