case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.117736806,0.112566869,1.7057,1,0.10878763,0.107075558,0.639574951,1.306813491,1.080080742,0.12633937,0.121837639,0.202955897,1.549762954,0.508928442,0.126027556,0.118446641,2.801546064,2.495355954,0.557368586,0.112716889,0.111496576,1.216248152,1.412785715,0.408858928,0.135420148,0.132324324,1.107423102,2.774031165,0.763867003,0.098068407,0.090143426,0.007878656,0.142919285,0.434424327,0.117928037,0.116475971,0.629597168,1.395674832,1.5375126,0.116606407,0.115692996,1.025930275,1.637118296,1.110719234
3,0.122581255,0.115836965,1.9248,1,0.111757296,0.109873956,0.515361943,1.794872077,0.856145636,0.11738137,0.107308192,0.117912814,0.834382857,0.212067555,0.116157111,0.100996312,1.022332889,1.454478805,0.803967743,0.141602963,0.140375764,1.84087597,2.632250675,1.588354206,0.126142926,0.122577385,0.513907865,2.608904639,0.167120864,0.099750889,0.093149241,0.228199832,0.682539452,0.627125093,0.120018148,0.118996566,0.205041207,3.134753887,2.10789385,0.147839333,0.147130328,3.469878946,2.364481622,9.424817033
13,0.124655315,0.119795338,2.4424,1,0.115247852,0.112854278,0.197522447,0.887297733,0.739869017,0.12885063,0.124509814,0.404439681,0.145872398,0.608197632,0.110790074,0.110074446,1.576559436,0.808894123,1.357995826,0.144263963,0.143067891,4.594465017,2.28113885,0.697586033,0.120594185,0.115636188,0.54705251,0.50362008,1.212077764,0.121124037,0.118099144,0.705597224,1.705070044,0.685137666,0.107465074,0.106608489,0.576256887,1.869684491,2.152228159,0.148906704,0.147691476,4.855320238,2.227146123,7.481970207
15,0.130981542,0.126319331,2.5235,1,0.129819074,0.125758196,0.370477299,0.855408572,0.632764978,0.133992852,0.12747531,1.621758086,0.165765946,0.184992945,0.106380889,0.104919917,1.256718145,0.267693825,1.647315476,0.155138889,0.151968673,3.191412688,2.621328339,1.599433932,0.113315037,0.094480202,0.055953287,0.447179694,0.220620583,0.130615333,0.128886355,0.856576135,5.478044797,2.45068591,0.127202407,0.126083246,0.732773533,4.506075482,1.97500664,0.151387852,0.150846377,6.658137644,2.862501791,10.59265909
17,0.130986824,0.125902125,2.9655,1,0.127591185,0.120455136,0.419608215,2.32552851,0.249348956,0.127674815,0.124298517,0.939825829,0.326231128,1.111555434,0.11011237,0.108668249,0.72973747,1.624964204,1.08431759,0.148946185,0.146717433,6.287764768,5.813080919,1.804806212,0.109957148,0.103426154,0.188720528,0.341750268,1.032147897,0.140907889,0.13980076,1.367855555,6.350802023,8.087912751,0.139317481,0.138780994,2.808777873,3.885741467,2.406446015,0.143387519,0.142404211,1.447635709,9.286538255,8.362658884
19,0.127393662,0.123906394,2.8015,1,0.10953737,0.107830268,0.15490614,0.386471538,0.997176358,0.128200704,0.12523321,0.817744883,3.142295402,0.809723372,0.123357593,0.122725639,1.703368464,2.005392848,2.293998424,0.117344296,0.11520639,2.005743814,1.446624926,0.626577821,0.159107111,0.158042931,1.355177027,6.293783963,5.277509254,0.113798,0.109183536,0.562894236,1.156284369,1.027302211,0.132862444,0.132365198,2.248040507,2.516775584,4.961341101,0.134941778,0.134619352,1.827157294,4.539601161,2.364263183
21,0.132513597,0.128063807,3.0455,1,0.115563222,0.114133973,0.042990447,0.940306145,1.363239829,0.129046333,0.122039653,0.268832774,3.449099175,0.379229906,0.122357815,0.121181165,1.630579338,1.888885931,1.449500429,0.134464778,0.132781833,5.115343731,0.952732103,2.765740836,0.14678663,0.145462124,1.523390235,2.687814018,3.383724235,0.122431037,0.117934402,0.223214669,1.713446047,1.362962073,0.133854037,0.133424868,1.771136436,6.509216849,4.484014416,0.155604926,0.155244117,7.84030776,7.505830856,6.229541213
23,0.131142597,0.126864921,3.0196,1,0.12045937,0.117234144,0.31532462,1.987231882,1.72757391,0.13595437,0.132716712,0.621819946,1.603059526,1.203866024,0.130560111,0.128538166,1.69675599,4.31558404,3.27445541,0.147344222,0.146275442,10.13697266,1.931992198,1.741000506,0.127834074,0.122763188,0.923374219,1.125488837,0.580621409,0.122831259,0.117578177,0.055370482,4.991481956,1.845424046,0.12571637,0.124941275,2.015476871,4.098653938,1.827070473,0.138441,0.137524576,2.117925324,0.961098186,3.344753306
1,0.117736806,0.112566869,1.3904,3,0.10878763,0.107075558,1.080080742,1.306813491,0.639574951,0.12633937,0.121837639,0.508928442,1.549762954,0.202955897,0.135420148,0.132324324,0.763867003,2.774031165,1.107423102,0.098068407,0.090143426,0.434424327,0.142919285,0.007878656,0.126027556,0.118446641,0.557368586,2.495355954,2.801546064,0.112716889,0.111496576,0.408858928,1.412785715,1.216248152,0.117928037,0.116475971,1.5375126,1.395674832,0.629597168,0.116606407,0.115692996,1.110719234,1.637118296,1.025930275
13,0.124655315,0.119795338,1.964,3,0.115247852,0.112854278,0.739869017,0.887297733,0.197522447,0.12885063,0.124509814,0.608197632,0.145872398,0.404439681,0.120594185,0.115636188,1.212077764,0.50362008,0.54705251,0.121124037,0.118099144,0.685137666,1.705070044,0.705597224,0.110790074,0.110074446,1.357995826,0.808894123,1.576559436,0.144263963,0.143067891,0.697586033,2.28113885,4.594465017,0.107465074,0.106608489,2.152228159,1.869684491,0.576256887,0.148906704,0.147691476,7.481970207,2.227146123,4.855320238
