case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.117736806,0.112566869,1.7057,1,0.10878763,0.107075558,1.1713115,1.3797684,1.4248118,0.12633937,0.121837639,1.6455023,2.2466722,1.3978325,0.126027556,0.118446641,2.8873353,2.9050338,1.0486965,0.112716889,0.111496576,1.4219377,1.4637685,1.1730584,0.135420148,0.132324324,1.6975207,2.8176827,1.0244213,0.098068407,0.090143426,0.82540536,0.7351873,0.80840087,0.117928037,0.116475971,1.7133994,1.8754227,2.464329,0.116606407,0.115692996,1.5197463,1.7807388,1.6595948
3,0.122581255,0.115836965,1.9248,1,0.111757296,0.109873956,1.3032843,1.8801203,1.3562737,0.11738137,0.107308192,1.0588478,1.6939797,0.7964697,0.116157111,0.100996312,2.9157887,2.4997315,2.5711727,0.141602963,0.140375764,2.904623,3.0796607,2.7862139,0.126142926,0.122577385,1.2371424,2.5487547,1.0719293,0.099750889,0.093149241,0.98049486,1.4732285,0.9630008,0.120018148,0.118996566,1.7095556,3.6625862,2.895725,0.147839333,0.147130328,4.1624656,3.0287929,7.563101
13,0.124655315,0.119795338,2.4424,1,0.115247852,0.112854278,1.2810707,1.2556837,1.4671581,0.12885063,0.124509814,0.9392142,1.0623783,0.97410345,0.110790074,0.110074446,2.27205,1.343126,2.4375234,0.144263963,0.143067891,4.657964,3.1634312,2.1766977,0.120594185,0.115636188,1.2159886,1.0780232,1.7335007,0.121124037,0.118099144,1.6129313,2.3982272,1.4197464,0.107465074,0.106608489,1.2808886,2.0721881,2.2625864,0.148906704,0.147691476,5.4799376,3.9376125,6.4034824
15,0.130981542,0.126319331,2.5235,1,0.129819074,0.125758196,1.9333572,1.8776946,1.56158,0.133992852,0.12747531,2.2062316,1.4766527,1.5481433,0.106380889,0.104919917,1.3324606,0.99055576,1.8239934,0.155138889,0.151968673,3.9441514,3.625402,2.8209105,0.113315037,0.094480202,1.155149,1.4600687,0.96336293,0.130615333,0.128886355,1.9799762,5.0168743,2.8929234,0.127202407,0.126083246,1.9079227,4.5162597,2.650906,0.151387852,0.150846377,6.8884783,4.4677005,9.877612
17,0.130986824,0.125902125,2.9655,1,0.127591185,0.120455136,1.2428305,2.600111,1.1475055,0.127674815,0.124298517,1.4800013,1.3861904,2.2341766,0.11011237,0.108668249,1.139561,1.707795,2.349464,0.148946185,0.146717433,7.222782,7.131081,4.2133827,0.109957148,0.103426154,1.0057806,1.1144992,1.6691601,0.140907889,0.13980076,2.513804,5.648498,7.9577966,0.139317481,0.138780994,3.6284354,4.069909,3.1684911,0.143387519,0.142404211,2.8582525,8.813274,7.6797895
19,0.127393662,0.123906394,2.8015,1,0.10953737,0.107830268,0.8307204,0.86379516,1.059759,0.128200704,0.12523321,1.943838,3.6501956,1.77529,0.123357593,0.122725639,2.912315,1.9900138,3.383789,0.117344296,0.11520639,2.1366763,1.9649692,1.4132524,0.159107111,0.158042931,2.199874,6.0569983,4.78251,0.113798,0.109183536,1.4296595,1.9804926,1.1086528,0.132862444,0.132365198,2.8085792,3.282086,5.180711,0.134941778,0.134619352,3.0414486,4.3681283,3.4703946
21,0.132513597,0.128063807,3.0455,1,0.115563222,0.114133973,1.3413316,1.3830981,1.7385589,0.129046333,0.122039653,1.811096,3.5389132,1.1444813,0.122357815,0.121181165,3.4834304,3.2134335,3.763095,0.134464778,0.132781833,5.156673,2.3810616,3.2112205,0.14678663,0.145462124,1.7521113,2.8520136,3.6608872,0.122431037,0.117934402,1.5467,2.6450644,2.0711298,0.133854037,0.133424868,3.2635674,5.865264,5.392477,0.155604926,0.155244117,8.040431,6.842765,6.0136585
23,0.131142597,0.126864921,3.0196,1,0.12045937,0.117234144,1.4779001,2.2795892,2.0990274,0.13595437,0.132716712,1.2459996,1.7457244,1.3859837,0.130560111,0.128538166,2.7938886,4.864229,4.514713,0.147344222,0.146275442,8.135812,3.1999118,3.5809016,0.127834074,0.122763188,2.8101091,2.4252272,1.3096656,0.122831259,0.117578177,1.145059,4.3044243,2.6516867,0.12571637,0.124941275,3.457548,4.3075724,2.381526,0.138441,0.137524576,3.342102,2.353879,4.1152487
1,0.117736806,0.112566869,1.3904,3,0.10878763,0.107075558,1.4248118,1.3797684,1.1713115,0.12633937,0.121837639,1.3978325,2.2466722,1.6455023,0.135420148,0.132324324,1.0244213,2.8176827,1.6975207,0.098068407,0.090143426,0.80840087,0.7351873,0.82540536,0.126027556,0.118446641,1.0486965,2.9050338,2.8873353,0.112716889,0.111496576,1.1730584,1.4637685,1.4219377,0.117928037,0.116475971,2.464329,1.8754227,1.7133994,0.116606407,0.115692996,1.6595948,1.7807388,1.5197463
13,0.124655315,0.119795338,1.964,3,0.115247852,0.112854278,1.4671581,1.2556837,1.2810707,0.12885063,0.124509814,0.97410345,1.0623783,0.9392142,0.120594185,0.115636188,1.7335007,1.0780232,1.2159886,0.121124037,0.118099144,1.4197464,2.3982272,1.6129313,0.110790074,0.110074446,2.4375234,1.343126,2.27205,0.144263963,0.143067891,2.1766977,3.1634312,4.657964,0.107465074,0.106608489,2.2625864,2.0721881,1.2808886,0.148906704,0.147691476,6.4034824,3.9376125,5.4799376
15,0.130981542,0.126319331,2.3959,3,0.129819074,0.125758196,1.56158,1.8776946,1.9333572,0.133992852,0.12747531,1.5481433,1.4766527,2.2062316,0.113315037,0.094480202,0.96336293,1.4600687,1.155149,0.130615333,0.128886355,2.8929234,5.0168743,1.9799762,0.106380889,0.104919917,1.8239934,0.99055576,1.3324606,0.155138889,0.151968673,2.8209105,3.625402,3.9441514,0.127202407,0.126083246,2.650906,4.5162597,1.9079227,0.151387852,0.150846377,9.877612,4.4677005,6.8884783
17,0.130986824,0.125902125,4.6461,3,0.127591185,0.120455136,1.1475055,2.600111,1.2428305,0.127674815,0.124298517,2.2341766,1.3861904,1.4800013,0.109957148,0.103426154,1.6691601,1.1144992,1.0057806,0.140907889,0.13980076,7.9577966,5.648498,2.513804,0.11011237,0.108668249,2.349464,1.707795,1.139561,0.148946185,0.146717433,4.2133827,7.131081,7.222782,0.139317481,0.138780994,3.1684911,4.069909,3.6284354,0.143387519,0.142404211,7.6797895,8.813274,2.8582525
19,0.127393662,0.123906394,2.6289,3,0.10953737,0.107830268,1.059759,0.86379516,0.8307204,0.128200704,0.12523321,1.77529,3.6501956,1.943838,0.159107111,0.158042931,4.78251,6.0569983,2.199874,0.113798,0.109183536,1.1086528,1.9804926,1.4296595,0.123357593,0.122725639,3.383789,1.9900138,2.912315,0.117344296,0.11520639,1.4132524,1.9649692,2.1366763,0.132862444,0.132365198,5.180711,3.282086,2.8085792,0.134941778,0.134619352,3.4703946,4.3681283,3.0414486
21,0.132513597,0.128063807,2.9856,3,0.115563222,0.114133973,1.7385589,1.3830981,1.3413316,0.129046333,0.122039653,1.1444813,3.5389132,1.811096,0.14678663,0.145462124,3.6608872,2.8520136,1.7521113,0.122431037,0.117934402,2.0711298,2.6450644,1.5467,0.122357815,0.121181165,3.763095,3.2134335,3.4834304,0.134464778,0.132781833,3.2112205,2.3810616,5.156673,0.133854037,0.133424868,5.392477,5.865264,3.2635674,0.155604926,0.155244117,6.0136585,6.842765,8.040431
