case-name,P,EP,KX,direction,p1,ep1,kx1,ky1,kz1,p2,ep2,kx2,ky2,kz2,p3,ep3,kx3,ky3,kz3,p4,ep4,kx4,ky4,kz4,p5,ep5,kx5,ky5,kz5,p6,ep6,kx6,ky6,kz6,p7,ep7,kx7,ky7,kz7,p8,ep8,kx8,ky8,kz8
1,0.117736806,0.112566869,1.7057,1,0.10878763,0.107075558,0.8931669,1.4046396,1.3720226,0.12633937,0.121837639,0.7883034,1.7382361,0.8445862,0.126027556,0.118446641,3.0729723,2.4173806,0.5709772,0.112716889,0.111496576,1.4710835,1.5269645,0.9031933,0.135420148,0.132324324,1.418215,2.643062,1.095549,0.098068407,0.090143426,0.32276863,0.4348945,0.39811534,0.117928037,0.116475971,1.4608237,2.3457308,2.489759,0.116606407,0.115692996,1.3014553,1.8347743,1.436727
3,0.122581255,0.115836965,1.9248,1,0.111757296,0.109873956,1.0044509,1.7629262,0.9958177,0.11738137,0.107308192,0.7060382,0.8891768,0.6771267,0.116157111,0.100996312,1.4618553,2.8280573,0.69187564,0.141602963,0.140375764,2.6904173,3.4652693,2.7974958,0.126142926,0.122577385,1.0387888,2.469154,0.7707163,0.099750889,0.093149241,0.39028597,0.93516123,0.7976599,0.120018148,0.118996566,1.3254952,2.799913,2.287011,0.147839333,0.147130328,4.6793303,2.8879876,9.324738
13,0.124655315,0.119795338,2.4424,1,0.115247852,0.112854278,0.7583697,1.5338495,1.0858171,0.12885063,0.124509814,0.98545563,0.60706174,1.1051465,0.110790074,0.110074446,1.8914887,1.1233913,1.5306132,0.144263963,0.143067891,3.5232797,1.9734409,2.0026937,0.120594185,0.115636188,0.86874056,0.7798237,1.4134222,0.121124037,0.118099144,1.253538,1.9957582,1.1903365,0.107465074,0.106608489,0.9246659,2.2888148,2.4854438,0.148906704,0.147691476,6.237815,4.2553144,8.4777975
15,0.130981542,0.126319331,2.5235,1,0.129819074,0.125758196,1.2788231,1.867897,1.1529658,0.133992852,0.12747531,2.1841507,1.0498598,1.3591201,0.106380889,0.104919917,1.2773846,0.8045295,1.8495735,0.155138889,0.151968673,3.4417558,4.199375,2.650354,0.113315037,0.094480202,0.9447676,0.9135336,0.70973593,0.130615333,0.128886355,1.4480513,5.487615,2.36877,0.127202407,0.126083246,1.4665617,4.542243,2.1936648,0.151387852,0.150846377,6.9736314,4.7569394,10.132658
17,0.130986824,0.125902125,2.9655,1,0.127591185,0.120455136,0.98151815,2.3963828,1.1500927,0.127674815,0.124298517,1.411966,0.9195291,1.4054431,0.11011237,0.108668249,1.2484484,1.6908339,1.4138626,0.148946185,0.146717433,6.0407653,5.49488,2.8639727,0.109957148,0.103426154,0.89690566,0.5796536,1.0362347,0.140907889,0.13980076,1.8688673,6.4353504,7.3691487,0.139317481,0.138780994,2.7086189,3.1215107,2.8820243,0.143387519,0.142404211,2.098503,9.205743,7.8042607
19,0.127393662,0.123906394,2.8015,1,0.10953737,0.107830268,0.37159887,0.5319093,1.0237012,0.128200704,0.12523321,1.5421783,2.794532,1.578405,0.123357593,0.122725639,3.5616698,2.3541923,3.3490226,0.117344296,0.11520639,2.5036807,1.5877289,1.0486138,0.159107111,0.158042931,2.1571605,6.706848,5.533478,0.113798,0.109183536,0.80552125,1.2948095,1.0737649,0.132862444,0.132365198,2.3663352,3.3290136,4.568685,0.134941778,0.134619352,2.4010363,3.373981,2.4581492
21,0.132513597,0.128063807,3.0455,1,0.115563222,0.114133973,1.001964,1.4903823,1.3593222,0.129046333,0.122039653,0.7865236,3.3741024,0.5331268,0.122357815,0.121181165,2.5101256,2.3041272,2.6003466,0.134464778,0.132781833,4.63847,2.5052855,2.7756567,0.14678663,0.145462124,1.6549945,2.722033,3.2706213,0.122431037,0.117934402,1.361536,2.4561636,1.3157061,0.133854037,0.133424868,2.5491621,5.6695967,5.4466743,0.155604926,0.155244117,10.082128,8.377564,6.883676
23,0.131142597,0.126864921,3.0196,1,0.12045937,0.117234144,1.0035584,2.440748,1.9419153,0.13595437,0.132716712,0.8528475,1.684226,1.3892683,0.130560111,0.128538166,2.2434256,7.7207003,3.9847412,0.147344222,0.146275442,10.295381,2.1599412,2.8901353,0.127834074,0.122763188,1.5371531,1.6413207,1.0869387,0.122831259,0.117578177,0.5631814,4.750815,1.6789725,0.12571637,0.124941275,3.2237453,4.4141665,2.2024682,0.138441,0.137524576,3.4978836,2.562708,3.862283
1,0.117736806,0.112566869,1.3904,3,0.10878763,0.107075558,1.3720226,1.4046396,0.8931669,0.12633937,0.121837639,0.8445862,1.7382361,0.7883034,0.135420148,0.132324324,1.095549,2.643062,1.418215,0.098068407,0.090143426,0.39811534,0.4348945,0.32276863,0.126027556,0.118446641,0.5709772,2.4173806,3.0729723,0.112716889,0.111496576,0.9031933,1.5269645,1.4710835,0.117928037,0.116475971,2.489759,2.3457308,1.4608237,0.116606407,0.115692996,1.436727,1.8347743,1.3014553
13,0.124655315,0.119795338,1.964,3,0.115247852,0.112854278,1.0858171,1.5338495,0.7583697,0.12885063,0.124509814,1.1051465,0.60706174,0.98545563,0.120594185,0.115636188,1.4134222,0.7798237,0.86874056,0.121124037,0.118099144,1.1903365,1.9957582,1.253538,0.110790074,0.110074446,1.5306132,1.1233913,1.8914887,0.144263963,0.143067891,2.0026937,1.9734409,3.5232797,0.107465074,0.106608489,2.4854438,2.2888148,0.9246659,0.148906704,0.147691476,8.4777975,4.2553144,6.237815
