case-name,P,EP,KX,KY,KZ,c1,p1,ep1,kx1,ky1,kz1,c2,p2,ep2,kx2,ky2,kz2,c3,p3,ep3,kx3,ky3,kz3,c4,p4,ep4,kx4,ky4,kz4,c5,p5,ep5,kx5,ky5,kz5,c6,p6,ep6,kx6,ky6,kz6,c7,p7,ep7,kx7,ky7,kz7,c8,p8,ep8,kx8,ky8,kz8
1.0,0.10878763,0.107075558,0.9335,1.419,1.0616,1,0.165296889,0.165386132,3.7,7.883999999999999,10.6643,4,0.078402074,0.075734967,0.0218,1.0629,1.0502,55,0.09794163,0.096940341,0.2816,0.1759,0.532,58,0.135694519,0.134720381,0.4686,1.646,2.242,973,0.12426637,0.123825188,1.6282,3.0479,5.7915,976,0.12875851900000002,0.12820409,0.2433,1.7556,1.0767,1027,0.08480622199999999,0.071982054,0.1524,0.7048,0.944,1030,0.055134815,0.045889014000000006,0.0,0.5335,0.0579
3.0,0.111757296,0.109873956,0.6642,1.9203,1.1886,3,0.08272355599999999,0.082273762,1.2286,1.0239,1.8307,6,0.089185481,0.08430971,0.4885,0.6416,0.0553,57,0.14348296300000002,0.142779531,0.7643,2.3462,0.904,60,0.142830815,0.12635780800000002,0.0,19.9879,0.5665,975,0.117976296,0.117661584,1.1912,2.6321,1.151,978,0.135052148,0.133243579,1.9726,1.0451,0.7742,1029,0.073109333,0.054362431,0.0,0.4453,0.5839,1032,0.109697778,0.109066911,1.7963,0.929,2.9022
5.0,0.11982563,0.116842726,0.3626,1.8574,0.7717,5,0.083529185,0.08106265,0.4509,2.9387,0.2535,8,0.08355792599999999,0.062373885,0.0961,0.109,0.0,59,0.13949837,0.13697533,0.0372,3.9163,1.7982,62,0.128720593,0.126472011,0.0555,2.5047,6.1610000000000005,977,0.147091259,0.145880927,2.4846,2.7216,0.8202,980,0.109386074,0.100341912,0.2742,0.4718,0.106,1031,0.08816237,0.087076111,0.0648,0.5697,1.2222,1034,0.178659259,0.17629476,3.1668,16.96,0.6256
7.0,0.12633937,0.121837639,0.3634,1.7781,0.6191,7,0.089725926,0.08633144,0.2144,0.2295,0.1279,10,0.11109837,0.099538236,0.2324,0.1867,0.1696,61,0.161691259,0.140009548,0.0,35.0396,5.5617,64,0.07498548099999999,0.070782922,0.08900000000000001,0.2192,0.1447,979,0.125860148,0.119027542,0.6992,0.5717,0.5143,982,0.100256593,0.094989932,0.369,0.3614,0.3611,1033,0.141658963,0.138494679,1.28,7.697,5.5094,1036,0.205438222,0.205714354,5.1871,3.8102,3.6645
9.0,0.11738137,0.107308192,0.3003,0.9335,0.3501,9,0.08437096300000001,0.075621995,0.08199999999999999,0.0878,0.0933,12,0.146391407,0.131040132,0.0656,0.0731,0.1296,63,0.106082074,0.103866978,0.1455,0.3443,5.8637,66,0.065096593,0.020180794,0.0,0.0,0.0,981,0.111792296,0.106557803,0.5134,0.6092,0.2554,984,0.071205037,0.064667686,0.0172,0.0256,0.0995,1035,0.217205333,0.215870586,14.1065,6.5435,2.3515,1038,0.136907259,0.135879205,0.6954,2.1118,1.3463
11.0,0.121925481,0.113768049,0.29100000000000004,0.332,0.3709,11,0.128028741,0.095132014,0.2364,0.0903,0.099,14,0.122423704,0.104715216,0.1862,1.0407,0.0924,65,0.061209778,0.034797773,0.0293,0.0,0.0,68,0.196815111,0.196565796,9.5209,0.0,21.4874,983,0.080500741,0.06847669299999999,0.0863,0.0257,0.2159,986,0.136396741,0.13211946300000002,0.1592,0.3473,0.3051,1037,0.154677037,0.15356276,1.3244,4.3556,2.852,1040,0.095352,0.06359865599999999,0.1277,0.3983,0.5579999999999999
13.0,0.118078037,0.112287171,0.6919,0.4035,0.9016,13,0.116591111,0.102780034,0.1747,0.1289,0.0922,16,0.112823407,0.08595591300000001,0.0,3.7516,0.0,67,0.140157926,0.12954317699999998,6.1416,0.0,6.2374,70,0.095591704,0.093122937,0.4181,0.4539,7.1101,985,0.08258637,0.074944391,0.1693,0.0735,0.0997,988,0.217026667,0.218652885,12.7419,52.6396,51.3736,1039,0.118016889,0.113403602,0.0359,0.4562,0.672,1042,0.061830222,0.053204166,0.2082,1.2265,0.6779999999999999
15.0,0.14585363,0.144361996,0.7639,6.0191,1.8501,15,0.126558519,0.081186146,0.0,2.2347,0.0,18,0.111367111,0.121994038,0.9955,2.5298,0.0,69,0.195384,0.195219992,9.0438,1.0406,22.5893,72,0.141512,0.14239101699999998,10.4043,0.818,34.4707,987,0.201495704,0.200740925,13.4528,4.8704,1.4915,990,0.167688593,0.168209857,1.6477,38.0897,13.1463,1041,0.05957363,0.053091754000000005,0.517,0.3432,0.1282,1044,0.163249481,0.138537225,0.0,0.0191,2.5161
17.0,0.115914556,0.114575133,0.3902,0.7816,0.8306,20,0.086657185,0.085909896,0.0421,0.1916,0.5155,23,0.15424859300000002,0.154775327,0.6591,7.5464,1.5386,74,0.13438044400000002,0.133532445,0.3424,1.2002,1.5457,77,0.119456296,0.105655711,0.0,1.7558,1.7318,992,0.118287111,0.112240299,0.7094,2.9479,2.8715,995,0.118024889,0.116609125,1.4139,0.0615,0.8189,1046,0.116574222,0.047376788,0.0,0.4678,0.0591,1049,0.079687704,0.07837384,0.0766,0.598,0.1977
19.0,0.115247852,0.112854278,0.3424,1.3252,1.0902,22,0.12785837,0.128316054,0.2977,0.3662,1.2402,25,0.133125926,0.128711286,0.1737,18.3057,0.1671,76,0.105688,0.104725964,0.3224,0.8459,1.88,79,0.147704889,0.143505056,0.1212,5.2668,3.2782,994,0.123179259,0.11622173,0.3566,0.2091,1.2612,997,0.099973926,0.095656005,0.7015,0.5199,0.5121,1048,0.047155852000000005,0.041619948,0.0,0.5687,0.0744,1051,0.137296593,0.136412153,0.1642,7.6184,3.1577
