index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s],Res.
0,1.0,0.167660741,0.160278345,0.9843,1.8542,1.4641,256.0,62.0,3e-06
2,3.0,0.221498074,0.22071973600000003,1.7934,3.4136,10.9529,248.0,66.0,3e-06
3,4.0,0.222788741,0.222489883,1.679,3.5513,10.9341,281.0,86.0,3e-06
4,5.0,0.225810963,0.22455001600000002,1.5263,2.6547,5.5371,258.0,87.0,3e-06
5,6.0,0.200472889,0.199039076,2.4428,2.1822,4.7085,260.0,82.0,3e-06
6,7.0,0.191482963,0.190485045,2.4668,0.8737,4.0159,314.0,79.0,3e-06
7,8.0,0.205057481,0.202513311,1.8562,1.006,1.5977,213.0,62.0,3e-06
8,9.0,0.217534222,0.216706955,1.3157,2.8699,1.5567,228.0,63.0,3e-06
9,10.0,0.237109037,0.23572511699999998,1.6182,4.5004,1.5519999999999998,243.0,75.0,3e-06
10,11.0,0.23976148100000003,0.23586843100000002,1.7073,1.9634,1.4117,255.0,73.0,3e-06
11,12.0,0.253371556,0.249159648,2.8699,2.5405,2.9226,278.0,91.0,3e-06
12,13.0,0.246696296,0.24510656,3.1772,8.6761,2.7459,270.0,80.0,3e-06
13,14.0,0.237198222,0.236587238,6.0136,8.4601,1.7099,202.0,63.0,3e-06
14,15.0,0.17862755600000002,0.17845678,3.3212,1.8905,1.1582,202.0,56.0,3e-06
15,16.0,0.187730963,0.18699961399999998,3.6614,1.9941,3.7560000000000002,197.0,59.0,3e-06
17,18.0,0.24865185199999998,0.247968353,5.7432,11.1888,7.8515,205.0,64.0,3e-06
19,20.0,0.17509037,0.17407451899999998,1.7046,0.7753,2.5669,206.0,63.0,3e-06
21,22.0,0.21914992600000002,0.21835058300000001,0.8647,4.6024,9.4761,217.0,72.0,3e-06
22,23.0,0.224334815,0.223527787,1.2533,2.7442,5.1479,243.0,81.0,3e-06
23,24.0,0.19480355600000002,0.19434891399999998,2.4952,2.7872,4.2841,235.0,71.0,3e-06
24,25.0,0.174563852,0.173244867,2.5517,1.8913,3.6536,220.0,69.0,3e-06
25,26.0,0.214898074,0.213251754,5.3332,2.3236,2.2108,223.0,68.0,3e-06
26,27.0,0.243351407,0.241780117,7.0463,4.3242,1.9199,248.0,64.0,3e-06
27,28.0,0.263295407,0.262909916,7.7547,7.2032,2.083,271.0,76.0,3e-06
28,29.0,0.24426251899999998,0.24234441399999998,1.1891,1.4668,1.505,265.0,84.0,3e-06
29,30.0,0.261473481,0.26088785,0.7531,1.2839,28.5114,280.0,94.0,3e-06
30,31.0,0.262061926,0.25889489600000004,0.6359,7.2381,28.3539,231.0,93.0,3e-06
31,32.0,0.263362667,0.263190945,6.5172,8.5295,23.16,264.0,86.0,3e-06
32,33.0,0.19191466699999998,0.19159460600000003,3.8609,2.0669,1.1028,231.0,74.0,3e-06
