index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
0,1.0,0.216584185,0.213556437,3.4469,4.0467,5.3253,2194.0,94.0
1,3.0,0.226484556,0.224420547,2.8709,4.0883,6.1874,2172.0,107.0
2,5.0,0.218557593,0.216043502,2.6321,3.0657,4.5062,2337.0,105.0
3,7.0,0.210095741,0.20742952899999997,1.83,2.7068,3.3614,2549.0,128.0
4,9.0,0.21072144399999998,0.20932912,1.4574,3.0610000000000004,2.4084,3097.0,231.0
6,11.0,0.222721074,0.221549684,2.7714,3.5886,2.6354,3148.0,265.0
8,13.0,0.210782556,0.20945797600000002,3.2861,2.9439,2.6224,2678.0,205.0
10,15.0,0.227242704,0.22635754800000002,4.5959,4.4837,5.6947,2977.0,376.0
12,17.0,0.21413770399999998,0.213140772,2.5694,3.5367,5.3079,2449.0,204.0
14,19.0,0.218900741,0.218004058,2.8276,3.6239999999999997,5.0127,2958.0,212.0
16,21.0,0.20540403699999998,0.204086193,2.4756,2.6365,3.7165,3113.0,256.0
18,23.0,0.20509274100000002,0.203592936,2.2728,2.8175,2.8047,3502.0,328.0
20,25.0,0.216295667,0.214713373,1.7755,3.8862,1.9445,3447.0,222.0
22,27.0,0.218898593,0.21759532,2.2093,3.1598,2.1326,3428.0,261.0
24,29.0,0.23547911100000002,0.234251034,4.8627,4.4812,3.7261,3068.0,367.0
26,31.0,0.213827185,0.212026788,2.6721,3.9504,3.9961,2940.0,393.0
28,33.0,0.221827222,0.22065046100000002,2.8028,3.6446,5.0086,3106.0,353.0
30,35.0,0.21158888899999997,0.21028930699999998,3.0603,2.9059,3.9616,3204.0,360.0
32,37.0,0.20935114800000001,0.20806134,2.6365,2.9307,3.9548,3174.0,240.0
34,39.0,0.204727889,0.202715882,1.7082,2.5823,2.0677,3285.0,276.0
36,41.0,0.213673074,0.21228173,2.1891,2.5414,2.2795,3587.0,373.0
38,43.0,0.21184540699999999,0.21029762,2.6310000000000002,3.2866,2.3061,3216.0,311.0
40,45.0,0.233522037,0.232240599,5.8043,4.4532,5.792999999999999,2858.0,207.0
42,47.0,0.210662481,0.208204052,2.9139,3.0857,4.0991,2323.0,138.0
46,53.0,0.207077185,0.20560060100000002,2.3372,3.1508,3.7253,4822.0,727.0
66,91.0,0.211976074,0.210698045,3.3725,3.5863,3.4387,2646.0,213.0
68,93.0,0.20490066699999998,0.203368477,2.4656,2.6921,3.0653,2498.0,226.0
70,95.0,0.203997593,0.202559315,2.1204,2.7902,3.3653,2684.0,190.0
72,97.0,0.190024852,0.188041507,1.8991,2.3831,3.2618,2643.0,195.0
74,99.0,0.19489855600000003,0.192527922,2.679,2.2516,2.8322,2755.0,214.0
76,101.0,0.205272889,0.20298329399999998,2.9982,2.2467,3.0946,2482.0,193.0
78,103.0,0.220806963,0.219076474,3.9681,4.0052,4.6217,3417.0,400.0
80,105.0,0.235648296,0.23308024300000002,4.8721,5.4633,5.7514,2371.0,151.0
82,107.0,0.20730774100000002,0.204798366,2.8497,3.1581,3.0476,2663.0,294.0
84,109.0,0.200230037,0.197492353,1.8567,2.4529,2.9836,2755.0,234.0
86,111.0,0.196428926,0.194385947,1.6961,2.6253,3.1506,3389.0,316.0
88,113.0,0.18888074100000002,0.18623336199999999,1.6340000000000001,2.2281,2.5045,3110.0,212.0
90,115.0,0.19290851899999997,0.188288135,2.2184,1.8284,2.4592,3024.0,224.0
92,117.0,0.20102885199999998,0.199282486,3.1397,2.3302,4.1288,3029.0,275.0
94,119.0,0.222460852,0.221165886,3.3383,4.0039,4.871,2959.0,401.0
96,121.0,0.214447222,0.21339017100000002,2.9389999999999996,4.3461,3.4555,3112.0,373.0
98,123.0,0.201270852,0.200062551,2.1414,3.0169,3.1648,3049.0,363.0
100,125.0,0.19876544399999999,0.19744385899999997,1.452,2.4853,2.338,3513.0,403.0
102,127.0,0.172001,0.16962337100000002,1.0852,1.3778,2.1604,3241.0,344.0
104,129.0,0.177426556,0.17498961100000002,2.0213,1.2475,2.256,3032.0,200.0
106,131.0,0.19400807399999997,0.191358517,2.7163,1.395,3.2852,2957.0,339.0
108,133.0,0.210400333,0.20878459800000002,3.4579,3.4538,4.2296,2882.0,198.0
110,135.0,0.21816311100000002,0.216897002,2.9869,3.8103,4.127,3183.0,429.0
112,137.0,0.207045037,0.205671264,2.2295,3.3858,2.9905,4246.0,459.0
116,143.0,0.176663519,0.173854845,0.9271,1.6707,1.6258,2896.0,258.0
634,1351.0,0.22290437,0.221625889,4.0943,4.5185,3.6607,3102.0,318.0
635,1353.0,0.222311111,0.220886005,3.6823,4.6533,3.9612,2596.0,220.0
636,1355.0,0.19750563,0.19596409,2.8812,3.3956,2.8268,2218.0,163.0
637,1357.0,0.199450519,0.197000482,3.4619,3.2619,2.6501,1947.0,128.0
638,1359.0,0.186381593,0.18452774800000002,2.7738,2.7176,2.8668,2062.0,236.0
639,1361.0,0.194997963,0.192850756,2.3278,2.0097,2.9793,2496.0,178.0
640,1363.0,0.216581296,0.214910121,1.6239,1.9409999999999998,3.4498,3703.0,452.0
641,1365.0,0.21943037,0.21810104600000002,2.1438,4.2917,4.1472,3575.0,438.0
642,1367.0,0.21228174100000002,0.21082413,3.0093,3.5651,3.3878,2659.0,216.0
643,1369.0,0.213306296,0.21113865,3.0116,3.9339,3.1868,2778.0,229.0
644,1371.0,0.20097614800000002,0.199236763,3.1745,3.7982,2.8443,2780.0,304.0
645,1373.0,0.21488944399999999,0.214102345,3.8773,5.1402,3.3704,2552.0,190.0
646,1375.0,0.206795111,0.205571504,3.6545,2.7508,3.4978,2822.0,226.0
647,1377.0,0.22165100000000001,0.22018075899999998,2.1933,2.2633,3.4753,3164.0,313.0
648,1379.0,0.21987029600000002,0.2176452,2.1217,2.7434,7.4046,3190.0,432.0
649,1381.0,0.204093852,0.202767148,3.3314,4.079,3.1838,3014.0,329.0
650,1383.0,0.204910481,0.203793841,3.6145,3.6999,3.1479,3066.0,332.0
651,1385.0,0.20273951899999998,0.20132478899999998,2.947,3.6094,2.4772,2715.0,350.0
652,1387.0,0.22271940699999998,0.22171317899999998,4.4866,4.1807,3.8279,2854.0,334.0
653,1389.0,0.215689926,0.214717529,4.6371,3.028,4.6399,2983.0,288.0
654,1391.0,0.217416815,0.21628735899999998,3.3842,2.138,3.8506,2789.0,384.0
655,1393.0,0.23089570399999998,0.22987407699999998,1.8956,2.3434,16.6722,3252.0,360.0
656,1395.0,0.23092522199999999,0.22984082399999997,3.3680000000000003,5.1651,18.1826,3559.0,521.0
657,1397.0,0.19321766699999998,0.190446824,3.1089,3.3796,3.2398,2178.0,120.0
658,1403.0,0.22190300000000002,0.220913716,4.9393,4.0942,6.42,3387.0,707.0
659,1441.0,0.20227763,0.201033823,3.4322,4.2669999999999995,2.8055,2123.0,200.0
660,1443.0,0.19221866699999998,0.19111188899999998,3.7271,2.9677,2.6592,2312.0,210.0
661,1445.0,0.194346778,0.192879852,3.9555,2.9151,2.0127,2038.0,177.0
662,1447.0,0.212624185,0.21150997800000002,3.9312,3.8146,5.0877,2304.0,198.0
663,1449.0,0.21989488899999998,0.218015142,4.0699,4.8882,5.1314,2387.0,257.0
664,1451.0,0.21196092600000002,0.209973401,2.8615,3.3772,3.8577,2173.0,190.0
665,1453.0,0.206524037,0.204849632,2.2554,3.3267,3.6814,3266.0,363.0
666,1455.0,0.211039704,0.21006069100000002,4.0074,3.779,4.2456,2575.0,196.0
667,1457.0,0.198675778,0.197161206,4.3536,3.8731,2.9208,2428.0,187.0
668,1459.0,0.188125519,0.18672800399999998,4.0359,2.4265,2.1819,2635.0,195.0
669,1461.0,0.20168488899999998,0.200493458,4.053999999999999,2.873,2.9509,2844.0,282.0
670,1463.0,0.209847037,0.20850056,3.8572,3.9837,3.5411,3047.0,337.0
671,1465.0,0.21066322199999998,0.20918640800000002,3.3261,4.8249,3.7787,2624.0,207.0
672,1467.0,0.196902926,0.19511751800000002,2.2411,3.2849,2.5748,2832.0,282.0
673,1469.0,0.20125129600000002,0.199760501,3.1768,3.3312,2.9245,2923.0,319.0
674,1471.0,0.21405766699999998,0.212907999,4.242,4.6904,3.4911,2828.0,324.0
675,1473.0,0.195739407,0.194678298,3.9624,2.4871,2.6971,2915.0,327.0
676,1475.0,0.194973222,0.19352551899999998,3.3414,2.2977,1.8353,2620.0,353.0
677,1477.0,0.201330037,0.199752188,2.8349,2.6498,2.5107,2795.0,367.0
678,1479.0,0.211789222,0.2088899,3.1596,5.7777,2.7964,2213.0,132.0
679,1481.0,0.20553711100000002,0.203907457,2.7794,4.1322,2.9105,2694.0,311.0
680,1483.0,0.206283185,0.204882885,2.4919,3.9749,2.858,3033.0,263.0
681,1485.0,0.20875903699999998,0.207681699,2.3979,3.3997,3.2148,2962.0,649.0
682,1487.0,0.217239593,0.21612525,4.2119,3.5243,3.1432,4669.0,828.0
683,1493.0,0.222314222,0.220830583,4.3622,4.8706,3.1384,4367.0,439.0
