case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1,0.203289977,0.195857629,2.064,2.3188,2.2892,46592,183
3,0.200971912,0.193613919,2.0488,2.2914,2.2151,46438,197
5,0.201519282,0.193641492,2.0148,2.28,2.1974,47413,184
7,0.202835194,0.195556056,2.0999,2.3295,2.2449,46488,204
9,0.201670565,0.193953405,2.0351,2.2749,2.1776,47322,187
11,0.203957394,0.196355657,2.1495,2.3372,2.2529,46549,186
13,0.201925426,0.194668566,2.118,2.3209,2.1966,46682,188
15,0.201546375,0.193744889,2.0471,2.2447,2.1776,47383,187
17,0.201637361,0.193701807,2.1513,2.2641,2.2233,46394,185
19,0.200437787,0.192264591,2.0864,2.2231,2.1739,46722,180
21,0.203019269,0.195705981,2.1089,2.2417,2.2168,46559,187
23,0.200547301,0.193203779,2.0799,2.2488,2.1689,46735,184
