index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
0,1.0,0.10878763,0.107075558,0.9335,1.419,1.0616,618.0,56.0
1,3.0,0.11175729599999999,0.109873956,0.6642,1.9203,1.1886,751.0,60.0
2,5.0,0.11982563,0.116842726,0.3626,1.8574,0.7717,895.0,67.0
3,7.0,0.12633937,0.121837639,0.3634,1.7781,0.6191,1383.0,74.0
4,9.0,0.11738137,0.107308192,0.3003,0.9335,0.3501,1577.0,75.0
5,11.0,0.121925481,0.11376804900000001,0.29100000000000004,0.332,0.3709,1550.0,73.0
6,13.0,0.118078037,0.11228717099999999,0.6919,0.4035,0.9016,966.0,61.0
7,15.0,0.14585363,0.144361996,0.7639,6.0191,1.8501,608.0,63.0
8,17.0,0.115914556,0.11457513300000001,0.3902,0.7816,0.8306,622.0,60.0
9,19.0,0.115247852,0.112854278,0.3424,1.3252,1.0902,846.0,64.0
10,21.0,0.129819074,0.125758196,0.4006,1.0964,0.7815,872.0,77.0
11,23.0,0.127591185,0.12045513599999999,0.5745,3.2258,0.9627,1176.0,72.0
12,25.0,0.12885063,0.12450981400000001,0.4832,0.397,1.1249,1342.0,79.0
13,27.0,0.133992852,0.12747531,0.5904,0.4047,1.2291,1209.0,75.0
14,29.0,0.127674815,0.124298517,1.4992,0.5897,1.4001,742.0,60.0
15,31.0,0.10953737,0.107830268,0.2852,0.6055,0.9546,708.0,59.0
16,33.0,0.115563222,0.11413397300000001,0.1526,1.1705,1.7488,600.0,58.0
17,35.0,0.12045937,0.117234144,0.3572,2.6894,2.5526,742.0,60.0
18,37.0,0.128200704,0.12523321,0.9294,4.0646,1.4894,812.0,71.0
19,39.0,0.129046333,0.12203965300000001,1.0887,3.6102,1.5104,938.0,66.0
20,41.0,0.13595437,0.132716712,0.9575,1.9198,2.1592,1077.0,70.0
45,91.0,0.12602755599999999,0.11844664099999999,3.0863,6.2826,3.0838,441.0,46.0
46,93.0,0.116157111,0.10099631199999999,2.6385,3.5923,4.1864,415.0,53.0
47,95.0,0.115551333,0.114104184,2.5553,2.6467,2.2639,527.0,44.0
48,97.0,0.112716889,0.111496576,0.7929,1.8371,1.6035,600.0,51.0
49,99.0,0.141602963,0.14037576400000001,2.6131,4.066,11.2208,652.0,52.0
50,101.0,0.153319556,0.151981143,3.7945,7.1761,11.538,548.0,62.0
51,103.0,0.15446837,0.153381936,5.6185,21.7899,12.3695,504.0,59.0
52,105.0,0.127436667,0.126347748,3.878,10.7998,4.8862,399.0,47.0
53,107.0,0.112168259,0.106760206,3.1322,3.0947,3.3232,363.0,48.0
54,109.0,0.110790074,0.11007444599999999,2.8272,1.9218,2.5379,419.0,41.0
55,111.0,0.106380889,0.10491991699999999,0.3003,1.2142,2.1538,527.0,44.0
56,113.0,0.11011237,0.10866824900000001,1.0364,2.8792,1.923,561.0,49.0
57,115.0,0.144263963,0.143067891,8.4502,5.7245,8.8332,574.0,52.0
58,117.0,0.155138889,0.151968673,9.0754,9.7311,11.0154,480.0,54.0
59,119.0,0.148946185,0.146717433,10.125,13.0446,10.5422,426.0,48.0
60,121.0,0.123357593,0.122725639,3.9242,5.0676,4.3864,367.0,50.0
61,123.0,0.122357815,0.121181165,4.372,3.0931,2.9781,345.0,41.0
62,125.0,0.130560111,0.128538166,3.4797,5.6533,4.696000000000001,458.0,52.0
63,127.0,0.117344296,0.11520639,2.3717,2.1112,3.4982,501.0,44.0
64,129.0,0.134464778,0.13278183300000002,4.7901,3.9638,8.0057,540.0,48.0
65,131.0,0.147344222,0.146275442,9.4529,7.1632,6.9992,513.0,52.0
665,1351.0,0.13542014800000002,0.132324324,1.6191,3.3673,1.4069999999999998,617.0,49.0
666,1353.0,0.126142926,0.122577385,0.8408,2.725,0.4708,660.0,47.0
667,1355.0,0.098505074,0.08861765699999999,0.5295,0.222,0.1098,751.0,40.0
668,1357.0,0.098068407,0.090143426,0.0051,0.1879,0.4653,910.0,45.0
669,1359.0,0.09975088900000001,0.093149241,0.1525,0.7111,0.8762,839.0,43.0
670,1361.0,0.118437333,0.116000726,0.66,2.3298,1.227,811.0,49.0
