case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1,0.11773680555555556,0.11256686937593553,1.7057,2.8235,1.3904,8067,100
3,0.12258125462962963,0.11583696490875219,1.9248,2.8721,1.3447,8905,105
5,0.12354206481481482,0.11754956026104621,2.0156,3.0929,1.2032,9537,107
7,0.12592537962962963,0.12055289209841596,2.1673,3.6138,2.575,8898,111
9,0.1326147361111111,0.12728833075251264,2.649,5.3546,5.0429,8015,129
11,0.12316146296296296,0.1187169099205793,2.0981,3.091,1.9011,7356,116
13,0.12465531481481482,0.11979533834829677,2.4424,3.0433,1.964,8002,108
15,0.13098154166666667,0.12631933058487835,2.5235,4.107,2.3959,8166,116
17,0.13098682407407408,0.12590212457281316,2.9655,5.1868,4.6461,7464,117
19,0.12739366203703703,0.12390639436805191,2.8015,3.7843,2.6289,6201,113
21,0.13251359722222222,0.12806380661136985,3.0455,4.6511,2.9856,6597,115
23,0.1311425972222222,0.12686492093357657,3.0196,4.7674,2.7708,6893,113
