case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1.0,0.216584185,0.213556437,2.748161,3.614485,4.290423,1.0,1.0
3.0,0.226484556,0.224420547,3.0565767,3.6480103,5.471671,3.0,3.0
5.0,0.218557593,0.216043502,2.981229,2.819423,3.851622,5.0,5.0
7.0,0.210095741,0.20742952899999997,2.2781944,2.8062487,3.4044333,7.0,7.0
9.0,0.21072144399999998,0.20932912,1.6662643,2.8234117,2.110634,9.0,9.0
11.0,0.222721074,0.221549684,2.9399147,3.3299716,2.5419,11.0,11.0
13.0,0.210782556,0.20945797600000002,3.0555396,3.063888,2.307998,13.0,13.0
15.0,0.227242704,0.22635754800000002,4.511124,4.4398055,5.342297,15.0,15.0
17.0,0.21413770399999998,0.213140772,2.5552835,3.6685023,4.261745,17.0,17.0
19.0,0.218900741,0.218004058,3.201158,3.8004646,4.825583,19.0,19.0
21.0,0.20540403699999998,0.204086193,2.419544,2.5863786,3.3812833,21.0,21.0
23.0,0.20509274100000002,0.203592936,2.6479528,2.6080375,3.0168204,23.0,23.0
25.0,0.216295667,0.214713373,1.9146144,3.8513584,2.6689582,25.0,25.0
27.0,0.218898593,0.21759532,1.8525226,2.954586,2.6599963,27.0,27.0
29.0,0.23547911100000002,0.234251034,4.7578897,5.527055,5.104026,29.0,29.0
31.0,0.213827185,0.212026788,2.4829626,4.5261884,3.5854974,31.0,31.0
33.0,0.221827222,0.22065046100000002,2.3610015,3.9198437,4.4667807,33.0,33.0
35.0,0.21158888899999997,0.21028930699999998,3.1009226,2.7738662,4.1151237,35.0,35.0
37.0,0.20935114800000001,0.20806134,2.8714998,3.0320451,4.0217085,37.0,37.0
39.0,0.204727889,0.202715882,1.8919067,2.8135428,2.7917917,39.0,39.0
41.0,0.213673074,0.21228173,2.2188597,2.9143586,2.6157122,41.0,41.0
43.0,0.21184540699999999,0.21029762,2.928628,3.5101647,3.1564727,43.0,43.0
45.0,0.233522037,0.232240599,5.150231,4.118026,5.4880586,45.0,45.0
47.0,0.210662481,0.208204052,2.373209,2.2675216,4.1530595,47.0,47.0
53.0,0.207077185,0.20560060100000002,2.618644,2.6847315,3.6468997,53.0,53.0
91.0,0.211976074,0.210698045,3.1416178,3.1531973,3.0548198,91.0,91.0
93.0,0.20490066699999998,0.203368477,2.0129197,2.8492568,3.1031017,93.0,93.0
95.0,0.203997593,0.202559315,1.9087117,2.9114509,3.08912,95.0,95.0
97.0,0.190024852,0.188041507,1.7532668,2.326353,2.6860125,97.0,97.0
99.0,0.19489855600000008,0.192527922,2.2658038,1.842135,2.7344613,99.0,99.0
