case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1.0,0.216584185,0.213556437,2.4153752,3.4738166,3.877278,1.0,1.0
3.0,0.226484556,0.224420547,2.8475976,3.4321432,5.705581,3.0,3.0
5.0,0.218557593,0.216043502,2.9905338,2.4516628,3.7573705,5.0,5.0
7.0,0.210095741,0.20742952899999997,2.0272267,2.7339668,3.0815375,7.0,7.0
9.0,0.21072144399999998,0.20932912,1.448835,2.808978,1.9957618,9.0,9.0
11.0,0.222721074,0.221549684,2.6866903,3.3163438,2.357331,11.0,11.0
13.0,0.210782556,0.20945797600000002,2.9690747,2.6682165,2.0875018,13.0,13.0
15.0,0.227242704,0.22635754800000002,4.441297,4.43541,5.665331,15.0,15.0
17.0,0.21413770399999998,0.213140772,2.2637296,3.307818,4.115128,17.0,17.0
19.0,0.218900741,0.218004058,3.0723138,3.5582314,5.2093034,19.0,19.0
21.0,0.20540403699999998,0.204086193,2.2707868,2.4560235,3.5018687,21.0,21.0
23.0,0.20509274100000002,0.203592936,2.48073,2.5487273,2.7984116,23.0,23.0
25.0,0.216295667,0.214713373,1.917654,3.931255,2.6239645,25.0,25.0
27.0,0.218898593,0.21759532,1.6369867,2.857075,2.1964667,27.0,27.0
29.0,0.23547911100000002,0.234251034,4.868554,5.791895,4.663277,29.0,29.0
31.0,0.213827185,0.212026788,2.1980507,4.6622367,3.1964605,31.0,31.0
33.0,0.221827222,0.22065046100000002,2.1893318,3.7316415,4.3755608,33.0,33.0
35.0,0.21158888899999997,0.21028930699999998,2.9037857,2.7395017,4.163959,35.0,35.0
37.0,0.20935114800000001,0.20806134,2.7421534,2.9181857,3.8271704,37.0,37.0
39.0,0.204727889,0.202715882,1.9735441,2.656498,2.6350782,39.0,39.0
41.0,0.213673074,0.21228173,2.101911,2.821152,2.3695111,41.0,41.0
43.0,0.21184540699999999,0.21029762,2.5501616,3.3754268,2.913889,43.0,43.0
45.0,0.233522037,0.232240599,5.473612,3.9107914,5.249925,45.0,45.0
47.0,0.210662481,0.208204052,2.333223,2.207198,4.2451787,47.0,47.0
53.0,0.207077185,0.20560060100000002,2.5560517,2.6676528,3.3576007,53.0,53.0
91.0,0.211976074,0.210698045,2.8255186,3.0774384,2.7234087,91.0,91.0
93.0,0.20490066699999998,0.203368477,1.8812518,2.6506243,2.8689451,93.0,93.0
95.0,0.203997593,0.202559315,1.8367256,2.7544231,2.8266919,95.0,95.0
97.0,0.190024852,0.188041507,1.7227893,2.267877,2.64584,97.0,97.0
99.0,0.19489855600000008,0.192527922,2.1675625,1.7667671,2.7267277,99.0,99.0
101.0,0.205272889,0.20298329399999998,2.8479846,2.7650506,2.702524,101.0,101.0
103.0,0.220806963,0.219076474,3.4880426,3.5341568,4.376728,103.0,103.0
105.0,0.235648296,0.23308024300000002,4.921478,4.88627,4.365931,105.0,105.0
107.0,0.20730774100000002,0.204798366,2.9688993,3.033735,3.0856915,107.0,107.0
109.0,0.200230037,0.197492353,2.1068182,2.3801172,2.9132245,109.0,109.0
111.0,0.196428926,0.194385947,1.7029886,2.5930355,3.1663496,111.0,111.0
