case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1,0.20824219444444445,0.1997281156478963,3.3643,4.1948,4.0067,45496,187
3,0.2072264351851852,0.19798760316468342,3.196,3.8364,4.0355,46407,188
5,0.20617005555555556,0.19663138205152642,3.1132,3.5423,3.7479,47116,186
7,0.20836126851851852,0.19877169542197237,3.1225,3.4544,4.0166,47179,188
9,0.21315719444444445,0.20360894150155517,3.5317,3.8699,4.4852,47597,206
11,0.20638911574074073,0.1972379765011214,3.1436,3.9868,3.6807,46985,187
13,0.2059031388888889,0.19630912875017908,3.1007,3.5522,3.5876,46984,259
15,0.2053719212962963,0.1956456660709346,2.9357,3.3935,3.4629,47369,189
17,0.2122214398148148,0.20280761644740272,3.5161,3.7689,4.182,48648,223
19,0.2064784398148148,0.19746889597909226,3.144,3.8879,3.7154,45518,205
21,0.20417269444444444,0.1946289310559884,3.0721,3.4759,3.5289,46441,190
23,0.2048377685185185,0.19537683443986403,3.0593,3.2511,3.3359,46873,201
25,0.2081032777777778,0.19848046115497933,3.1127,3.3462,3.8926,47266,288
27,0.212625375,0.20309885071439573,3.4882,3.8075,4.4329,46990,211
29,0.20701533796296295,0.1982771141519901,3.0371,3.7727,3.684,46342,205
