case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1.0,0.19257311100000002,0.186276314,1.370518,1.3413231,1.4065728,1.0,1.0
3.0,0.193239296,0.190980261,1.6880848,1.4312997,1.7406102,3.0,3.0
5.0,0.20211322199999998,0.199160557,1.6560036,1.7728797,1.8862169,5.0,5.0
13.0,0.214706667,0.212278959,1.8626277,2.2018883,2.4947755,13.0,13.0
15.0,0.21127807399999998,0.20876242899999997,1.9766575,2.4826105,2.3104672,15.0,15.0
17.0,0.211020741,0.208781827,1.6702362,2.42874,1.8381342,17.0,17.0
19.0,0.189895852,0.18719770600000002,1.432341,1.427967,1.2996174,19.0,19.0
21.0,0.191967815,0.18870657100000002,1.4484553,1.5520866,1.6982961,21.0,21.0
31.0,0.207933037,0.204953548,1.8765932,2.3338888,2.5556169,31.0,31.0
33.0,0.21201488899999998,0.20898827399999997,1.7296499,2.5306394,2.2501426,33.0,33.0
35.0,0.193709185,0.19105923800000002,1.3158859,1.4750885,1.4100155,35.0,35.0
37.0,0.189644741,0.186802823,1.4616747,1.4190041,1.7476265,37.0,37.0
39.0,0.19478692600000005,0.19169382,1.5563333,1.6856393,1.5213356,39.0,39.0
47.0,0.209877444,0.20718428600000002,1.9220289,2.002542,2.4198666,47.0,47.0
49.0,0.20544974100000002,0.20193720199999998,1.7612882,2.3222225,2.8120303,49.0,49.0
51.0,0.205503333,0.202972209,1.4218289,2.028217,2.2209308,51.0,51.0
53.0,0.19393537,0.191278155,1.505938,1.6014497,1.4633064,53.0,53.0
55.0,0.19380503699999999,0.190829236,1.6032704,1.4361862,1.408636,55.0,55.0
65.0,0.199428667,0.19533920600000002,1.5455211,1.4755781,2.08177,65.0,65.0
67.0,0.200902778,0.197387051,1.5460838,1.9093957,2.0466712,67.0,67.0
69.0,0.19615888899999998,0.19389407600000005,1.4428806,1.5516474,1.4208485,69.0,69.0
71.0,0.194572926,0.1921081,1.5316088,1.5289196,1.6754675,71.0,71.0
81.0,0.203914889,0.200731773,1.4250907,1.4271307,1.5700254,81.0,81.0
83.0,0.198224667,0.195207579,1.5080897,1.5561479,1.8860873,83.0,83.0
205.0,0.182046593,0.178697347,0.94562304,1.1344559,1.1390976,205.0,205.0
207.0,0.189366111,0.186976017,0.9592009,1.3610632,1.3188003,207.0,207.0
209.0,0.193356185,0.19112713,1.3033737,1.3526769,1.0796046,209.0,209.0
217.0,0.20562063,0.203030403,1.7564231,1.7884206,1.2240353,217.0,217.0
219.0,0.198507519,0.19410745100000001,1.814729,1.5847946,1.253966,219.0,219.0
221.0,0.194380037,0.192030509,1.5774173,1.3153737,1.3388165,221.0,221.0
223.0,0.195072148,0.192825816,1.4033855,1.4745791,1.430277,223.0,223.0
225.0,0.205971407,0.203876975,1.4982928,1.3077215,1.3879617,225.0,225.0
235.0,0.20970755600000002,0.20396426399999998,2.1500456,1.8656856,1.457721,235.0,235.0
237.0,0.19889444399999998,0.19488197399999999,2.0134346,1.5703431,1.4200017,237.0,237.0
239.0,0.192391704,0.18953790199999998,1.3608207,1.6961547,1.332107,239.0,239.0
241.0,0.201417667,0.198837724,1.4617728,1.8121719,1.7551155,241.0,241.0
243.0,0.20958129600000008,0.20757778300000002,1.4170767,1.5236427,1.8433574,243.0,243.0
251.0,0.21497044399999998,0.209058937,1.9962683,2.174575,1.7915211,251.0,251.0
253.0,0.21083674100000002,0.20721061100000002,2.6029594,2.312414,1.627419,253.0,253.0
255.0,0.20176611100000005,0.199432125,1.7387136,1.6919242,1.49973,255.0,255.0
257.0,0.190472296,0.18782536,1.4222277,1.455573,1.3740429,257.0,257.0
259.0,0.20425644399999998,0.20237088,1.6766158,1.50731,1.866726,259.0,259.0
269.0,0.21732014800000002,0.214475058,3.2269886,2.539561,1.7650408,269.0,269.0
271.0,0.206245333,0.203346308,2.9232018,2.093763,1.6355169,271.0,271.0
273.0,0.18923414800000002,0.186169626,1.3088876,1.5053606,1.2220103,273.0,273.0
275.0,0.19266151899999998,0.189389648,1.4660662,1.4944125,1.1211392,275.0,275.0
285.0,0.21659392600000002,0.214533251,3.3082638,2.369681,1.7582434,285.0,285.0
287.0,0.21079463,0.208461764,2.9675379,2.2733498,1.4563204,287.0,287.0
3469.0,0.223070259,0.221617576,2.153532,2.6158514,2.6997836,3469.0,3469.0
3471.0,0.21917488899999998,0.21719766699999998,2.4181714,2.6414082,2.6221862,3471.0,3471.0
3473.0,0.216922852,0.21470367399999998,1.781032,2.006056,3.0580544,3473.0,3473.0
3481.0,0.192143667,0.189705554,1.5756893,1.3951896,1.7541438,3481.0,3481.0
3483.0,0.18389196300000002,0.18032259899999997,1.1303338,1.2927133,0.9085789,3483.0,3483.0
3485.0,0.183263185,0.18047916600000002,1.1235148,1.2127063,1.0239437,3485.0,3485.0
3487.0,0.218250778,0.21636495,2.2573235,2.0936587,2.6364396,3487.0,3487.0
