case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1.0,0.10878763,0.107075558,1.1713115,1.3797684,1.4248118,1.0,1.0
3.0,0.11175729599999999,0.109873956,1.3032843,1.8801203,1.3562737,3.0,3.0
5.0,0.11982563,0.116842726,1.4169607,1.5770159,1.2572013,5.0,5.0
7.0,0.12633937,0.121837639,1.6455023,2.2466722,1.3978325,7.0,7.0
9.0,0.11738137,0.107308192,1.0588478,1.6939797,0.7964697,9.0,9.0
11.0,0.121925481,0.11376804900000001,1.0270796,0.85212004,1.003227,11.0,11.0
13.0,0.118078037,0.11228717099999999,1.8151823,1.6141906,2.1522279,13.0,13.0
15.0,0.14585363,0.144361996,2.1245475,3.8477259,3.4256718,15.0,15.0
17.0,0.115914556,0.11457513300000001,1.0045884,1.0209378,1.0359819,17.0,17.0
19.0,0.115247852,0.112854278,1.2810707,1.2556837,1.4671581,19.0,19.0
21.0,0.129819074,0.125758196,1.9333572,1.8776946,1.56158,21.0,21.0
23.0,0.127591185,0.12045513599999999,1.2428305,2.600111,1.1475055,23.0,23.0
25.0,0.12885063,0.12450981400000001,0.9392142,1.0623783,0.97410345,25.0,25.0
27.0,0.133992852,0.12747531,2.2062316,1.4766527,1.5481433,27.0,27.0
29.0,0.127674815,0.124298517,1.4800013,1.3861904,2.2341766,29.0,29.0
31.0,0.10953737,0.107830268,0.8307204,0.86379516,1.059759,31.0,31.0
33.0,0.115563222,0.11413397300000001,1.3413316,1.3830981,1.7385589,33.0,33.0
35.0,0.12045937,0.117234144,1.4779001,2.2795892,2.0990274,35.0,35.0
37.0,0.128200704,0.12523321,1.943838,3.6501956,1.77529,37.0,37.0
39.0,0.129046333,0.12203965300000001,1.811096,3.5389132,1.1444813,39.0,39.0
41.0,0.13595437,0.132716712,1.2459996,1.7457244,1.3859837,41.0,41.0
91.0,0.12602755599999999,0.11844664099999999,2.8873353,2.9050338,1.0486965,91.0,91.0
93.0,0.116157111,0.10099631199999999,2.9157887,2.4997315,2.5711727,93.0,93.0
95.0,0.115551333,0.114104184,2.4573236,2.2598727,2.3020165,95.0,95.0
97.0,0.112716889,0.111496576,1.4219377,1.4637685,1.1730584,97.0,97.0
99.0,0.141602963,0.14037576400000001,2.904623,3.0796607,2.7862139,99.0,99.0
101.0,0.153319556,0.151981143,3.5957541,3.4652004,3.8321402,101.0,101.0
103.0,0.15446837,0.153381936,3.4834907,10.30985,4.7880177,103.0,103.0
105.0,0.127436667,0.126347748,4.4776316,6.0659285,2.3298976,105.0,105.0
107.0,0.112168259,0.106760206,1.8291602,1.9232432,2.2360554,107.0,107.0
109.0,0.110790074,0.11007444599999999,2.27205,1.343126,2.4375234,109.0,109.0
111.0,0.106380889,0.10491991699999999,1.3324606,0.99055576,1.8239934,111.0,111.0
113.0,0.11011237,0.10866824900000001,1.139561,1.707795,2.349464,113.0,113.0
115.0,0.144263963,0.143067891,4.657964,3.1634312,2.1766977,115.0,115.0
117.0,0.155138889,0.151968673,3.9441514,3.625402,2.8209105,117.0,117.0
119.0,0.148946185,0.146717433,7.222782,7.131081,4.2133827,119.0,119.0
121.0,0.123357593,0.122725639,2.912315,1.9900138,3.383789,121.0,121.0
123.0,0.122357815,0.121181165,3.4834304,3.2134335,3.763095,123.0,123.0
125.0,0.130560111,0.128538166,2.7938886,4.864229,4.514713,125.0,125.0
127.0,0.117344296,0.11520639,2.1366763,1.9649692,1.4132524,127.0,127.0
129.0,0.134464778,0.13278183300000002,5.156673,2.3810616,3.2112205,129.0,129.0
131.0,0.147344222,0.146275442,8.135812,3.1999118,3.5809016,131.0,131.0
1351.0,0.13542014800000002,0.132324324,1.6975207,2.8176827,1.0244213,1351.0,1351.0
1353.0,0.126142926,0.122577385,1.2371424,2.5487547,1.0719293,1353.0,1353.0
1355.0,0.098505074,0.08861765699999999,1.2879722,1.0114691,0.89848375,1355.0,1355.0
1357.0,0.098068407,0.090143426,0.82540536,0.7351873,0.80840087,1357.0,1357.0
1359.0,0.09975088900000001,0.093149241,0.98049486,1.4732285,0.9630008,1359.0,1359.0
1361.0,0.118437333,0.116000726,1.170304,1.6324683,1.4478712,1361.0,1361.0
